year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jz2,bg_posts_jz3,bg_posts_jz4,bg_posts_jz5
2020,5,15,46,-.355,-.603,-.413,-.102,-.246,-.677,-.405,-.401,-.254,-.234,-.457
2020,2,14,46,.131,.647,.282,.21,-.0094,.0968,.223,.09,.0919,.403,-.176
2020,1,24,46,-.104,-.265,-.205,-.111,-.208,-.406,-.14,.179,-.267,-.251,-.265
2020,5,22,46,-.179,-.0904,-.429,-.139,-.0604,-.29,.0248,-.223,-.125,-.0927,-.329
2020,1,31,46,-.0094,.143,.0502,-.102,.208,-.355,-.0413,-.195,.0206,.059,.335
2020,5,15,47,-.379,-.412,-.419,-.428,-.397,-.466,-.316,-.325,-.391,-.47,-.359
2020,3,20,47,-.102,-.18,.13,-.255,-.134,-.248,-.0318,-.118,-.17,-.054,-.134
2020,5,8,47,-.384,-.442,-.357,-.552,-.47,-.526,-.286,-.247,-.468,-.495,-.351
2020,1,17,47,.152,.0052,.118,.15,.302,.122,.138,.133,.244,.0368,.313
2020,1,10,47,-.169,-.0812,-.133,-.274,-.254,-.137,-.138,-.176,-.185,-.134,-.287
2020,6,5,47,-.124,-.0747,-.0833,-.21,-.236,-.184,.176,.0192,-.219,-.248,-.196
2020,5,1,47,-.374,-.452,-.525,-.52,-.457,-.375,-.129,-.292,-.415,-.472,-.436
2020,2,7,47,-.229,-.255,-.0881,-.248,-.321,-.119,-.0191,-.231,-.307,-.184,-.306
2020,4,24,47,-.452,-.426,-.523,-.465,-.519,-.693,-.544,-.435,-.528,-.432,-.423
2020,1,31,47,-.0382,.0839,-.00598,.201,-.0765,-.128,-.201,-.0913,-.0976,.102,-.0425
2020,4,3,47,-.331,-.3,-.263,-.429,-.343,-.582,-.237,-.33,-.315,-.344,-.383
2020,4,17,47,-.282,-.498,-.321,-.425,-.216,-.493,-.28,-.203,-.216,-.434,-.281
