year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jz2,bg_posts_jz3,bg_posts_jz4,bg_posts_jz5
2020,2,14,1,.111,.373,.0663,.201,.00295,.281,.133,.0938,.0755,.22,-.0539
2020,4,17,1,-.0418,-.329,-.213,.0166,-.348,-.288,-.0969,.254,-.192,-.168,-.208
2020,1,10,1,.0704,-.19,-.0591,.0335,-.0633,-.0177,.138,.252,-.00968,-.0261,-.201
2020,3,20,1,.126,.054,.214,.293,.049,-.103,-.184,.253,.135,.0432,-.0352
2020,4,3,1,-.214,-.111,-.174,-.0849,-.252,-.661,-.49,-.254,-.161,-.207,-.104
2020,2,21,1,.216,.411,.227,.325,.134,.127,.24,.177,.255,.243,.139
2020,6,5,1,-.0253,-.113,.0909,.0716,-.136,.263,.367,.117,-.0716,-.15,-.179
2020,2,28,1,.0255,.0491,.118,.0955,.134,-.181,-.26,-.0888,.156,.0293,.146
2020,5,29,1,-.263,-.321,-.158,-.102,-.261,-.222,-.163,-.281,-.245,-.189,-.488
2020,4,24,1,-.42,-.486,-.33,-.363,-.485,-.541,-.362,-.429,-.412,-.382,-.459
