year,month,day_endofweek,countyfips,spend_all
2020,1,12,12073,.0179
2020,1,12,12075,.0732
2020,1,12,12079,-.112
2020,1,12,12081,-.00462
2020,1,12,12083,-.0387
2020,1,12,12085,.00917
2020,1,12,12086,-.0157
2020,1,12,12087,-.0633
2020,1,12,12089,-.00101
2020,1,12,12091,-.00583
2020,1,12,12095,-.022
2020,1,12,12097,.0275
2020,1,12,12099,.000826
2020,1,12,12101,-.0263
2020,1,12,12103,-.00783
2020,1,12,12105,-.0175
2020,1,12,12107,.0109
2020,1,12,12109,-.0125
2020,1,12,12111,.0141
2020,1,12,12113,-.0135
2020,1,12,12115,.0126
2020,1,12,12117,-.00528
2020,1,12,12119,-.0439
2020,1,12,12121,.00849
2020,1,12,12123,-.0595
2020,1,12,12125,-.00891
2020,1,12,12127,.00569
2020,1,12,12129,.00874
2020,1,12,12131,.0806
2020,1,12,12133,.0776
2020,1,12,13009,-.0261
2020,1,12,13013,.0229
2020,1,12,13015,-.0128
2020,1,12,13021,.00295
2020,1,12,13023,-.0159
2020,1,12,13025,.0456
2020,1,12,13029,.0548
2020,1,12,13031,.0647
2020,1,12,13033,.015
2020,1,12,13035,-.0263
2020,1,12,13039,-.038
2020,1,12,13045,.00748
2020,1,12,13047,.0337
2020,1,12,13049,-.0466
2020,1,12,13051,.0103
2020,1,12,13057,.0127
2020,1,12,13059,.106
2020,1,12,13063,.039
2020,1,12,13067,.0261
2020,1,12,13069,-.095
2020,1,12,13073,.0122
2020,1,12,13077,-.00544
2020,1,12,13085,.056
2020,1,12,13087,-.0241
2020,1,12,13089,-.0088
2020,1,12,13091,-.0347
2020,1,12,13095,.262
2020,1,12,13097,.0251
2020,1,12,13103,.0659
2020,1,12,13107,.0457
2020,1,12,13111,-.13
2020,1,12,13113,-.00436
2020,1,12,13115,.0339
2020,1,12,13117,.0136
2020,1,12,13119,.00547
2020,1,12,13121,.0225
2020,1,12,13123,-.0186
2020,1,12,13127,.0342
2020,1,12,13129,-.0392
2020,1,12,13131,.0713
2020,1,12,13133,.251
2020,1,12,13135,.00271
2020,1,12,13137,.188
2020,1,12,13139,-.0204
2020,1,12,13143,-.0394
2020,1,12,13145,-.0461
2020,1,12,13151,.000542
2020,1,12,13153,.0342
2020,1,12,13157,.00424
2020,1,12,13159,.0616
2020,1,12,13169,-.0709
2020,1,12,13175,-.0627
2020,1,12,13179,-.0491
2020,1,12,13185,-.00638
2020,1,12,13187,-.00629
