statefips,year,month,day_endofweek,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2,2021,4,16,.0876,.,.,.,.,.,.259,.367,.377,-.0254,-.0143,.166,-.221
2,2021,4,23,.483,.,.,.,.,.,1.02,.921,.912,.289,.282,.41,.106
2,2021,4,30,.368,.,.,.,.,.,.531,.802,.827,.207,.195,.307,.0315
2,2021,5,7,1.08,.,.,.,.,.,.457,.909,.95,1.2,1.11,1.38,.588
2,2021,5,14,.71,.,.,.,.,.,.975,1.07,1.08,.604,.534,.592,.328
2,2021,5,21,.357,.,.,.,.,.,.778,.597,.58,.252,.251,.392,.0724
2,2021,5,28,1.05,.,.,.,.,.,1.93,1.43,1.37,1.04,.886,1.09,.34
2,2021,6,4,.404,.,.,.,.,.,.926,.71,.69,.385,.287,.471,-.132
2,2021,6,11,.54,.,.,.,.,.,.605,.847,.869,.172,.413,.606,.625
2,2021,6,18,.0559,.,.,.,.,.,.16,.176,.177,-.154,-.0152,.113,.0872
2,2021,6,25,.305,.,.,.,.,.,.58,.469,.459,.0859,.219,.521,.0909
2,2021,7,2,-.0103,.,.,.,.,.,.136,.102,.099,-.0645,-.082,.0896,-.332
2,2021,7,9,.117,.,.,.,.,.,.111,.219,.229,-.0293,.049,.192,.0167
2,2021,7,16,.218,.,.,.,.,.,.654,.539,.529,.0469,.0936,.304,-.0835
2,2021,7,23,.129,.,.,.,.,.,.432,.365,.359,.0977,.00891,.137,-.321
2,2021,7,30,.0502,.,.,.,.,.,.457,.277,.26,-.0234,-.0446,.198,-.391
2,2021,8,6,.0581,.,.,.,.,.,.506,.279,.258,-.0156,-.0419,.184,-.377
2,2021,8,13,.13,.,.,.,.,.,.333,.289,.285,.00195,.0535,.322,-.187
2,2021,8,20,.0112,.,.,.,.,.,.0864,.0549,.052,-.0234,-.0481,.0602,-.232
2,2021,8,27,.124,.,.,.,.,.,.877,.352,.305,-.0332,.000891,.169,-.147
2,2021,9,3,.0864,.,.,.,.,.,.284,.192,.184,0,.0437,.201,-.0724
2,2021,9,10,-.127,.,.,.,.,.,.309,.0816,.061,-.291,-.244,-.116,-.317
2,2021,9,17,.353,.,.,.,.,.,.037,.379,.41,.303,.301,.744,-.262
2,2021,9,24,-.161,.275,-.0132,.0354,-.337,-.517,-.333,-.0908,-.0688,-.273,-.234,.0132,-.469
2,2021,10,1,-.157,-.15,.0925,.0885,-.349,-.341,-.0864,.00359,.0118,-.275,-.234,-.0485,-.388
2,2021,10,8,.296,-.15,.392,.947,-.0277,.142,-.309,.373,.435,.102,.215,.653,-.124
2,2021,10,15,-.046,.525,.189,.248,-.261,-.369,-.16,.0713,.0923,-.113,-.14,.0426,-.421
2,2021,10,22,.23,.175,.366,1.5,-.0344,-.118,-.0123,.41,.448,.346,.153,.222,-.299
2,2021,10,29,-.112,-.15,-.163,1.36,-.357,-.22,-.235,-.00257,.0185,-.0195,-.167,-.0837,-.551
2,2021,11,5,-.158,-.1,.286,.381,-.284,-.35,-.457,-.111,-.08,-.0371,-.163,-.025,-.577
2,2021,11,12,-.173,.15,.128,.363,-.389,-.155,-.309,-.099,-.08,-.285,-.241,.0338,-.503
2,2021,11,19,.341,1.13,.533,1.35,.161,-.0719,.0864,.32,.341,.215,.307,.768,-.0983
2,2021,11,26,.123,.525,.568,1.29,-.0675,-.0719,-.185,.143,.173,.123,.102,.228,-.0946
2,2021,12,3,.0525,1.15,-.0308,.159,.279,.104,.0123,.147,.159,-.0645,-.0214,.184,-.199
2,2021,12,10,.00552,1.28,-.0661,.655,-.101,-.239,.136,.0754,.0699,.0449,-.0187,.0602,-.239
2,2021,12,17,.155,.125,-.0573,.46,-.036,-.0441,-.21,.58,.652,.197,-.0205,.0661,-.544
2,2021,12,24,-.166,.175,-.269,.265,-.283,-.155,.0617,-.0313,-.0397,-.219,-.225,-.0543,-.455
2,2021,12,31,-.22,-.025,-.128,.159,-.387,-.0905,-.235,-.0354,-.0173,-.23,-.304,-.319,-.425
2,2022,1,7,-.249,.15,-.374,.0796,-.412,-.128,-.358,-.0559,-.0285,-.242,-.323,-.28,-.529
2,2022,1,14,.0219,.275,-.0308,.717,-.175,-.155,-.16,.297,.339,-.041,-.09,.0396,-.347
2,2022,1,21,-.199,.625,.154,.239,-.382,-.193,-.358,-.019,.0118,-.283,-.285,-.101,-.521
2,2022,1,28,.158,.05,.00441,1.27,.0799,.114,-.333,.295,.352,.186,.0873,.278,-.34
2,2022,2,4,.0185,.95,1.41,.531,-.309,.169,.383,.129,.106,-.119,-.0348,.354,-.365
2,2022,2,11,.124,1.35,.63,.558,-.197,.262,.16,.326,.341,.107,.00891,.198,-.417
2,2022,2,18,-.0782,.625,-.0132,.106,-.294,.197,.284,.0405,.0185,-.0391,-.133,-.025,-.447
