year,month,day_endofweek,cityid,emp,emp_ss40,emp_ss60,emp_ss65,emp_ss70,emp_wage_q1,emp_wage_q2,emp_wage_q3,emp_wage_q4,emp_s,emp_ss40_s,emp_ss60_s,emp_ss65_s,emp_ss70_s,emp_wage_q1_s,emp_wage_q2_s,emp_wage_q3_s,emp_wage_q4_s
2016,1,16,1,-0.09599925097993456,-0.030917765371671457,-0.17995545108505995,-0.19604031873704475,0.07818045481093261,.,-0.47663560454386444,-0.3328802054148906,-0.343918480736929,-0.10281391721029698,-0.038744522874381904,-0.18472967281314068,-0.20174155218900314,0.07795257397990452,.,-0.4614521114789426,-0.34148992814295254,-0.34816918467588875
2016,1,16,10,-0.02530926455231075,-0.1992660528040332,-0.24243288009453712,-0.22726787555384942,0.11452189440017224,0.5917682969942966,-0.19544198675453062,-0.14199629631878397,-0.3608859014700152,-0.035804637640518,-0.19869900495748338,-0.258885060138235,-0.21106711527781763,0.11715651999416665,0.5626787288015673,-0.195893882316444,-0.19373933558517398,-0.37925515240832486
2016,1,16,11,-0.055920088204640894,0.2862290803658323,-0.16257705514931065,-0.10776411262233931,0.19639801170913174,0.3251165696759051,-0.3126219684155549,-0.06088923031026683,-0.3587350875169234,-0.052025953655761015,0.2857503136509556,-0.170850332976339,-0.10868111439490957,0.21776858205940552,0.3492428278875608,-0.30515249659497123,-0.09435679599936864,-0.34890969553854845
2016,1,16,12,-0.07607033909048466,-0.04457315023759956,-0.121985876662985,0.17598169015003995,-0.02275017382845501,.,-0.2454239266028302,-0.25342148762646155,-0.2548113215074864,-0.08062658146406365,-0.040719035032540596,-0.12371073312104697,0.16712274461015575,-0.03270968262361296,.,-0.24356869474021936,-0.2551211954267074,-0.2596777827311624
2016,1,16,13,0.0265421720934782,-0.017494045455424434,0.14951596357053432,-0.06980599968691181,0.09449164734547422,1.1638276821047122,-0.37523623802134254,-0.21975937668375534,-0.2716792485323717,0.031569179981579154,-0.03779801786184134,0.23718474316330784,-0.06168666686531654,0.10457491910227579,1.0875838103764597,-0.36174120311683766,-0.19598429034848164,-0.2624092389838458
2016,1,16,14,-0.3684859825998503,-0.008525217227681181,-0.3625146146404593,-0.4460035130362019,0.1742648192297227,-0.29051983473304954,-0.5287031730795597,-0.1900895483926408,-0.3421667047214175,-0.3652956438622923,-0.011060003733776802,-0.3590870830162455,-0.44953750525832936,0.11617543879087622,-0.30737081849133696,-0.4980260459187953,-0.2089785801866273,-0.34639891426288283
2016,1,16,15,-0.12453125063427395,-0.19634151884362028,-0.2152867978338402,-0.04955609834726471,0.08102572861391533,0.49791898589446904,-0.39056016294447493,-0.23275695768309834,-0.3733373279557909,-0.12163490139552147,-0.18328141752491078,-0.21847328524131326,-0.05680261848480139,0.0732746831441784,0.4707798396632745,-0.3838766481155571,-0.2410143063017468,-0.363387676160451
2016,1,16,16,-0.26724012514542883,.,-0.382500357645258,-0.17658288763831376,-0.301596043336786,0.9443246024587069,-0.4010487959295316,-0.47233691956143975,-0.5957948987652446,-0.28435833791020326,.,-0.39369988155673785,-0.19361069186213753,-0.3240476272909639,0.8594962983182333,-0.40535152715217204,-0.47887072067727166,-0.5987206237715044
2016,1,16,17,-0.13233462781044936,-0.03552311708575717,-0.3309980910410012,0.08627949519378553,0.10399639669335947,0.37449063829665086,-0.3494290991317126,-0.27389970096965466,-0.2796369008540458,-0.12831922641144822,-0.025458765271829997,-0.3052602507259611,0.08325707802888238,0.1471400684737385,0.35804830544684485,-0.3342260056350075,-0.296545035782265,-0.28482402408135565
2016,1,16,18,-0.14556951270481555,-0.2100381123096995,0.007836378044291825,-0.21237836993048576,0.16939492988654603,0.3483133722580054,-0.251829401462772,-0.32337168616172063,-0.41767480415812297,-0.1548007733985618,-0.20435109522239325,0.011278158345226386,-0.24834369943860468,0.1372203150336575,0.3158429326986476,-0.23312187263841166,-0.3255746251930728,-0.4599524950849967
2016,1,16,19,-0.03228669165549558,0.03771017902753693,-0.15483005744158507,0.024728222804704103,-0.05384367344442387,0.7203914111090008,-0.30970036536663903,-0.2900532833832824,-0.26441974803496704,-0.018416654344235228,0.02091916149426387,-0.11349249630053304,0.014643417051567686,-0.05368925525872181,0.7350449151461398,-0.2886581202779115,-0.3185062587483387,-0.246092379800134
