year,month,day,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,25,30,.0386,-.00857,.136,.0614,.0243,0,.00296
2020,2,25,31,.0543,.02,.137,.0229,.0343,-.00286,.00804
2020,2,25,32,.0343,.0443,-.0286,.00429,.0171,0,-.00234
2020,2,25,33,.0129,.0414,.06,.00571,-.0429,.00714,-.00753
2020,2,25,34,.0557,.0129,.204,.02,.0129,-.00286,.00429
2020,2,25,35,.0314,.00857,.29,.0214,.01,-.00429,.00681
2020,2,25,36,.01,-.0271,.0671,.0143,.00571,.00429,-.00269
2020,2,25,37,.0543,.01,.113,.0357,.0586,-.01,.0136
2020,2,25,38,.00857,.00143,.0357,-.00571,.02,0,-3.16e-08
2020,2,25,39,-.03,-.0429,.0286,.0186,-.0371,.03,-.0292
2020,2,25,40,.0643,.0643,.3,.0371,.0286,-.00857,.0137
2020,2,25,41,.01,.0157,.163,.0286,.0243,-.00429,.00681
2020,2,25,42,.0343,.0157,.0757,.0757,.0214,-.00714,.0114
2020,2,25,43,.0229,.00857,.07,.0457,.02,-.00143,.00322
2020,2,25,44,.461,.433,.591,1.15,-.144,.00286,.00739
2020,2,25,45,.04,-.00286,-.04,.00143,.02,.00143,-.00169
2020,2,25,46,.0343,-.0114,.304,.0571,.0257,-.00429,.00832
2020,2,25,47,.0471,.00429,.246,.04,.0114,0,.000402
2020,2,25,48,.01,-.00286,.0729,.0114,.0129,.00143,-.000234
2020,2,25,49,.0557,.06,.376,.0486,.0243,-.00857,.0113
2020,2,25,50,.0643,.0857,.19,.04,.0329,-.00571,.00738
2020,2,25,51,0,-.01,.0486,-.0129,.00571,.0143,-.0125
2020,2,25,52,-.00571,-.0143,-.21,-.01,.0129,.00714,-.012
2020,2,25,53,.02,.00571,-.00143,.0471,.0186,.00143,-.00219
2020,2,26,1,.0157,.00286,.0714,.00571,.0243,-.00429,.00362
2020,2,26,2,.0174,-.0207,.12,-.00765,.000408,.0053,-.00255
2020,2,26,3,.0343,.0243,.263,.0214,.0214,-.00571,.0117
2020,2,26,4,.04,-.00143,.0243,0,.0243,-.00143,.00253
2020,2,26,5,.0471,-2.66e-10,.0371,.0543,.0129,.00143,-.00301
2020,2,26,6,.0143,-.0143,.0414,-7.98e-10,.0243,-.00143,-.000322
2020,2,26,7,.04,.00429,.0771,.00429,.0329,-.00857,.00865
2020,2,26,8,.0386,0,.0629,.02,-.00143,.00286,-.0048
2020,2,26,9,.0286,-.0129,.337,.0329,-.01,-.00286,.00441
2020,2,26,10,.0371,.0129,.0629,.03,.0329,-.01,.0116
2020,2,26,11,.0371,.0486,.0214,-.0157,.0229,-.00714,.00981
2020,2,26,12,-.00143,-.00143,.179,-.0257,.00429,0,.00281
2020,2,26,13,.0414,-.00286,.264,.123,-.00714,.00714,-.00298
2020,2,26,14,.0514,.0129,.359,.03,.03,-.00143,.00423
2020,2,26,15,.0443,.0143,.19,.0271,.02,-.00286,.00622
2020,2,26,16,.0357,.00286,.0843,-.00571,.04,-.00571,.00708
2020,2,26,17,.0157,-.0186,.0814,.0314,0,.0114,-.00867
2020,2,26,18,.0457,-.00143,.206,.0257,.0186,0,.00293
2020,2,26,19,.00286,-.0186,-.0857,.0157,.0114,.00571,-.00546
2020,2,26,20,.01,.0229,.1,-.00714,.0157,.00143,-.00202
2020,2,26,21,.0314,.0143,.156,.00429,.0214,-.00143,.0014
2020,2,26,22,.04,.01,-.233,.144,.0243,-.00714,.00879
2020,2,26,23,.0571,.00571,.15,.0171,.0343,-.00286,.00563
2020,2,26,24,.0686,.0186,.306,.0443,.0229,-.00857,.0108
2020,2,26,25,.0329,-.00286,.226,.0171,.0114,.00286,.0000806
2020,2,26,26,.0343,.0143,-.0257,0,.02,0,-.00162
2020,2,26,27,.0286,.0929,.234,.0286,.0157,-.00286,.00622
2020,2,26,28,-.00714,.02,-.0829,.02,.0257,.00143,-.00286
2020,2,26,29,.00714,-.0386,.114,.03,.00429,.00429,-.00192
2020,2,26,30,.0386,-.00571,.106,.06,.0229,.00143,.00136
2020,2,26,31,.0643,.0229,.144,.0229,.0343,-.00286,.00804
2020,2,26,32,.0486,.0457,-.0243,.00857,.0186,-.00143,-.000736
2020,2,26,33,.02,.0443,.0471,.00286,-.0414,.00714,-.00753
2020,2,26,34,.0686,.02,.213,.02,.0143,-.00429,.00589
2020,2,26,35,.0386,.0114,.299,.0257,.0143,-.00571,.00841
2020,2,26,36,.0171,-.0257,.0614,.0157,.00714,.00286,-.00109
2020,2,26,37,.0686,.0171,.114,.0471,.0586,-.01,.0136
2020,2,26,38,.01,-.00143,.00714,-.00714,.02,0,-3.16e-08
2020,2,26,39,-.0286,-.0471,.0786,.0229,-.0357,.0271,-.026
2020,2,26,40,.0814,.0771,.326,.0457,.0286,-.0114,.0169
2020,2,26,41,.0143,.0186,.171,.0314,.0271,-.00571,.00841
2020,2,26,42,.0429,.0186,.106,.0786,.0214,-.00857,.013
2020,2,26,43,.0271,.00857,.0286,.0429,.02,0,.00162
2020,2,26,44,.473,.443,.589,1.08,-.176,.0129,-.0038
2020,2,26,45,.05,.00286,-.0357,.00571,.02,0,-.0000883
2020,2,26,46,.0414,-.00571,.287,.0586,.0257,-.00571,.00992
2020,2,26,47,.0614,.0114,.249,.0386,.0114,-.00143,.002
2020,2,26,48,.0143,.00571,.0871,.00714,.0143,0,.00137
2020,2,26,49,.0629,.0671,.409,.0457,.0243,-.01,.0129
2020,2,26,50,.0786,.0929,.206,.0471,.0329,-.00714,.00898
2020,2,26,51,.01,-.00571,.0614,-.00571,.00714,.0129,-.0109
2020,2,26,52,.0114,-.00143,-.173,-.00429,.0171,.00286,-.00724
2020,2,26,53,.03,.00857,-.0257,.0529,.0186,.00143,-.00219
2020,2,27,1,.0186,.00571,.0757,.00714,.0243,-.00429,.00362
2020,2,27,2,.0198,-.0155,.117,-.00148,.0167,.00234,.000434
2020,2,27,3,.04,.0286,.266,.0229,.0214,-.00571,.0117
2020,2,27,4,.0557,.01,.0829,.0143,.0271,-.00714,.00828
2020,2,27,5,.0529,.00143,.0371,.0571,.0129,0,-.00157
2020,2,27,6,.0171,-.0129,.0429,.00286,.0286,-.00286,.00111
2020,2,27,7,.0529,.0114,.119,.0157,.0329,-.0114,.0115
2020,2,27,8,.0443,.00429,.0657,.0214,-.00143,.00143,-.00337
2020,2,27,9,.0357,-.0129,.343,.04,.00143,-.00429,.00585
2020,2,27,10,.0486,.0214,.113,.0386,.0343,-.0129,.0144
2020,2,27,11,.0557,.0614,.0814,-.00429,.0243,-.0129,.0156
2020,2,27,12,.00429,.00857,.187,-.0214,.0186,-.00286,.00568
2020,2,27,13,.0414,-.00714,.244,.124,-.0214,.0129,-.00873
2020,2,27,14,.06,.0171,.346,.0314,.0286,-.00143,.00423
2020,2,27,15,.0443,.02,.174,.0257,.0129,0,.00335
2020,2,27,16,.0486,.0129,.147,.00429,.0443,-.0114,.0128
2020,2,27,17,.0471,-.0114,.146,.0629,.00857,-.00143,.00426
2020,2,27,18,.0557,.00286,.201,.0243,.0186,0,.00293
2020,2,27,19,.0186,-.00571,-.0586,.0243,.0129,.00286,-.00259
2020,2,27,20,.0371,.0357,.141,.0114,.02,-.00286,.00229
2020,2,27,21,.0343,.02,.161,.00857,.0229,-.00286,.00283
2020,2,27,22,.0571,.0186,-.214,.154,.0257,-.01,.0117
2020,2,27,23,.06,.00571,.166,.0143,.0343,-.00429,.00706
2020,2,27,24,.0771,.0214,.341,.0486,.0229,-.00857,.0108
2020,2,27,25,.0429,.00143,.236,.03,.0214,0,.00295
2020,2,27,26,.0557,.0271,.0443,.0143,.0229,-.00286,.00126
2020,2,27,27,.04,.116,.234,.0357,.0157,-.00429,.00766
2020,2,27,28,-.00286,.0314,-.0443,.02,.0286,-.00143,.0000131
2020,2,27,29,.0129,-.0386,.0929,.04,.0114,.00143,.000952
2020,2,27,30,.0571,.00857,.146,.0671,.0243,-.00286,.00567
2020,2,27,31,.0757,.0271,.166,.0314,.0343,-.00429,.00948
2020,2,27,32,.06,.0529,-.00286,.02,.0186,-.00286,.000701
2020,2,27,33,.0229,.05,.0214,.00143,-.0171,.00286,-.00322
2020,2,27,34,.0757,.0214,.22,.0257,.0157,-.00571,.00733
2020,2,27,35,.0443,.0157,.3,.0286,.0171,-.00714,.00984
2020,2,27,36,.0371,-.0129,.107,.0286,.0114,-.00286,.00466
2020,2,27,37,.0771,.0214,.131,.0514,.06,-.0114,.015
2020,2,27,38,.0171,.00571,-.00286,-.01,.02,0,-3.16e-08
2020,2,27,39,-.00286,-.0471,.156,.03,-.0214,.0129,-.0116
2020,2,27,40,.0857,.0843,.339,.0557,.0286,-.0114,.0169
2020,2,27,41,.0186,.0229,.186,.0343,.03,-.00714,.00984
2020,2,27,42,.05,.02,.134,.0843,.0214,-.00857,.013
2020,2,27,43,.0386,.0143,.0186,.0457,.0214,-.00143,.00305
2020,2,27,44,.481,.457,.651,1.1,-.186,.0129,-.0038
2020,2,27,45,.0729,.0143,.01,.0229,.0243,-.00429,.00422
2020,2,27,46,.0343,-.01,.276,.0614,.0214,-.00286,.00704
2020,2,27,47,.0714,.0171,.249,.0386,.0129,-.00286,.00344
2020,2,27,48,.0171,.0129,.0829,.00286,.0143,-.00143,.0028
2020,2,27,49,.0714,.0757,.479,.0486,.0271,-.0114,.0144
2020,2,27,50,.0886,.1,.23,.05,.0329,-.00857,.0104
2020,2,27,51,.0286,-.0129,.0857,2.66e-10,.01,.00714,-.00512
2020,2,27,52,.0171,.01,-.134,-.00714,.0229,.00143,-.0058
2020,2,27,53,.0471,.0157,.01,.07,.02,-.00143,.000686
2020,2,28,1,.0229,.0114,.08,.01,.0257,-.00571,.005
2020,2,28,2,.0266,-.00444,.119,.00882,.0341,-.00282,.00543
2020,2,28,3,.0471,.0329,.267,.0257,.0186,-.00714,.0131
2020,2,28,4,.0657,.0214,.109,.0171,.0129,-.00571,.0069
2020,2,28,5,.0586,.00429,.0429,.0629,.0143,-.00143,-.000187
2020,2,28,6,.02,-.00857,.0471,.00571,.0329,-.00429,.0025
2020,2,28,7,.0643,.0229,.161,.0229,.0329,-.0143,.0143
2020,2,28,8,.05,.00714,.0671,.0214,-.00143,0,-.00198
2020,2,28,9,.0386,-.00571,.3,.0443,.0129,-.00571,.00723
2020,2,28,10,.0586,.03,.164,.0429,.0357,-.0157,.0172
2020,2,28,11,.0657,.0714,.09,.00429,.0243,-.0157,.0183
2020,2,28,12,.0114,.0243,.199,-.0171,.0343,-.00571,.00845
2020,2,28,13,.05,0,.241,.137,-.0171,.01,-.00596
2020,2,28,14,.0714,.0243,.354,.0357,.0271,-.00286,.00562
2020,2,28,15,.0471,.0243,.159,.0271,.01,0,.00335
2020,2,28,16,.0557,.0229,.16,.00714,.0443,-.0129,.0142
2020,2,28,17,.0657,.00571,.203,.0843,.0271,-.0114,.0139
2020,2,28,18,.0586,.00571,.19,.0271,.0171,0,.00293
2020,2,28,19,.0314,.00714,-.0129,.0386,.0157,-.00286,.00294
2020,2,28,20,.0586,.0471,.164,.0214,.0214,-.00714,.00644
2020,2,28,21,.0329,.0257,.15,.00571,.0214,-.00286,.00283
2020,2,28,22,.0714,.03,-.203,.169,.0286,-.0129,.0144
2020,2,28,23,.0714,.0157,.194,.02,.0343,-.00714,.00983
2020,2,28,24,.0771,.0271,.33,.0471,.0214,-.00857,.0108
2020,2,28,25,.0571,.0157,.253,.0471,.0329,-.00429,.0071
2020,2,28,26,.0743,.0443,.104,.03,.0243,-.00571,.00402
2020,2,28,27,.0457,.12,.236,.0429,.0157,-.00571,.00904
2020,2,28,28,-.00143,.0443,-.00429,.02,.03,-.00286,.0014
2020,2,28,29,.0214,-.0271,.0757,.0486,.02,-.00286,.0051
2020,2,28,30,.0743,.0143,.16,.07,.0243,-.00429,.00705
2020,2,28,31,.0871,.0314,.176,.04,.0329,-.00571,.0109
2020,2,28,32,.0714,.0614,.0186,.0343,.02,-.00571,.00347
2020,2,28,33,.0329,.0671,.0357,.00857,.00714,-.00286,.00232
2020,2,28,34,.0843,.0314,.223,.0386,.0157,-.00714,.00871
2020,2,28,35,.05,.0229,.299,.03,.02,-.00857,.0112
2020,2,28,36,.0457,-.00857,.12,.0343,.0129,-.00571,.00743
2020,2,28,37,.0886,.0286,.163,.0657,.0586,-.0129,.0164
2020,2,28,38,.0229,.0129,-.00857,-.01,.02,-.00143,.00138
2020,2,28,39,.0314,-.0114,.237,.0529,.03,-.01,.0105
2020,2,28,40,.0857,.0914,.354,.0643,.0286,-.0129,.0183
2020,2,28,41,.0214,.0286,.186,.0357,.0314,-.00714,.00984
2020,2,28,42,.0514,.0214,.137,.0843,.0214,-.00857,.013
2020,2,28,43,.0486,.0229,.05,.0529,.0214,-.00429,.00582
2020,2,28,44,.457,.43,.639,.991,-.19,.0157,-.00657
2020,2,28,45,.0914,.0243,.0957,.0386,.0243,-.00714,.00699
2020,2,28,46,.0343,-.00429,.257,.0571,.0186,-.00143,.00566
2020,2,28,47,.0843,.0271,.239,.0429,.0157,-.00571,.00621
2020,2,28,48,.0171,.0186,.07,-.00143,.0129,-.00143,.0028
2020,2,28,49,.0771,.0829,.546,.0514,.02,-.0114,.0144
2020,2,28,50,.0943,.109,.276,.0571,.03,-.00857,.0104
2020,2,28,51,.05,.0114,.131,.0229,.0271,-.00571,.00733
2020,2,28,52,.0257,.0171,-.0943,2.66e-10,.0229,0,-.00442
2020,2,28,53,.06,.0271,.0714,.0857,.0186,-.00571,.00484
2020,2,29,1,.0286,.0186,.114,.0171,.0271,-.00857,.01
2020,2,29,2,.0242,-.00262,.0684,.00496,.0352,-.00216,.00426
2020,2,29,3,.0514,.0343,.217,.0243,.0171,-.00714,.0131
2020,2,29,4,.0743,.0286,.13,.0286,.0114,-.00857,.0119
2020,2,29,5,.0671,.0157,.137,.0829,.0243,-.00857,.0123
2020,2,29,6,.0286,.00143,.111,.0171,.0371,-.00857,.01
2020,2,29,7,.0757,.0343,.211,.0329,.0343,-.0171,.0193
2020,2,29,8,.0614,.02,.103,.0314,.00143,-.00429,.00553
2020,2,29,9,.04,.01,.299,.0371,.0157,-.00571,.00723
2020,2,29,10,.07,.04,.219,.0471,.0357,-.0186,.0222
2020,2,29,11,.0743,.08,.09,.01,.0257,-.0171,.0208
2020,2,29,12,.0171,.0386,.193,-.0129,.0357,-.00429,.00594
2020,2,29,13,.0457,.00286,.17,.167,-.0186,.01,-.00596
2020,2,29,14,.0686,.0257,.299,.0343,.0243,-.00286,.00562
2020,2,29,15,.05,.0243,.0571,.0229,.00714,0,.00335
2020,2,29,16,.06,.03,.173,.00714,.0429,-.0157,.0192
2020,2,29,17,.0829,.0186,.174,.109,.0257,-.0143,.019
2020,2,29,18,.0643,.00714,.116,.0257,.0171,-.00143,.00544
2020,2,29,19,.0486,.0157,.0143,.0486,.0186,-.00571,.00795
2020,2,29,20,.0814,.06,.201,.0386,.0229,-.0114,.0139
2020,2,29,21,.0257,.03,.134,-.00571,.02,-.00143,.000327
2020,2,29,22,.08,.0357,-.207,.161,.0286,-.0143,.0169
2020,2,29,23,.0729,.0143,.147,.0114,.0314,-.00857,.0123
2020,2,29,24,.0771,.0329,.243,.0429,.0214,-.00714,.00832
2020,2,29,25,.0671,.0171,.289,.06,.03,-.00429,.0071
2020,2,29,26,.0914,.0586,.17,.0443,.0257,-.01,.0115
2020,2,29,27,.0514,.124,.189,.04,.0157,-.00714,.0115
2020,2,29,28,-2.66e-10,.0557,-.00429,.0129,.0286,-.00286,.0014
2020,2,29,29,.0129,-.0357,.0271,.0343,.0186,-.00286,.0051
2020,2,29,30,.0943,.0186,.189,.0843,.0243,-.00714,.0121
2020,2,29,31,.09,.0329,.161,.0429,.0329,-.00571,.0109
2020,2,29,32,.0886,.0757,.0943,.0529,.0257,-.0114,.0135
2020,2,29,33,.0443,.0929,.12,.02,.0143,-.00714,.00983
2020,2,29,34,.0943,.0371,.254,.05,.0171,-.01,.0137
2020,2,29,35,.0543,.03,.28,.03,.0214,-.01,.0137
2020,2,29,36,.0529,-.00857,.114,.0529,.0114,-.00714,.00993
2020,2,29,37,.101,.0371,.211,.0743,.0586,-.0157,.0214
2020,2,29,38,.0271,.0186,-.00286,-.00714,.02,-.00286,.00389
2020,2,29,39,.0414,-.00143,.267,.0529,.0314,-.0129,.0155
2020,2,29,40,.0871,.0971,.366,.0629,.0286,-.0143,.0208
2020,2,29,41,.0229,.0343,.18,.0329,.03,-.00714,.00984
2020,2,29,42,.0543,.0243,.123,.0857,.0243,-.00857,.013
2020,2,29,43,.0543,.03,.0614,.0543,.0214,-.00714,.0108
2020,2,29,44,.404,.367,.621,.677,-.184,.0186,-.0116
2020,2,29,45,.0971,.0314,.171,.0429,.0243,-.01,.012
2020,2,29,46,.0343,-.00571,.183,.0529,.0157,-.00143,.00566
2020,2,29,47,.0986,.0371,.29,.0557,.0186,-.00857,.0112
2020,2,29,48,.0143,.0214,.0414,-.00571,.0114,0,.000297
2020,2,29,49,.08,.0871,.514,.0543,.02,-.0114,.0144
2020,2,29,50,.0971,.117,.274,.0643,.0314,-.01,.0129
2020,2,29,51,.0571,.0214,.126,.0371,.03,-.00857,.0123
2020,2,29,52,.0286,.0186,-.09,.00429,.0229,-.00143,-.00191
2020,2,29,53,.0686,.0357,.166,.0914,.0214,-.00857,.00984
2020,3,1,1,.0286,.0214,.0886,.0129,.0257,-.00857,.01
2020,3,1,2,.0224,-.000158,.00475,.000583,.035,-.000809,.00152
2020,3,1,3,.06,.04,.221,.0286,.0171,-.00857,.016
2020,3,1,4,.0814,.0371,.121,.03,.0129,-.01,.0148
2020,3,1,5,.0729,.0229,.169,.0814,.0257,-.01,.0152
2020,3,1,6,.0271,.00286,.0743,.01,.0371,-.00857,.01
2020,3,1,7,.0914,.05,.291,.0443,.0386,-.0214,.028
2020,3,1,8,.0657,.02,.08,.0243,.00143,-.00429,.00553
2020,3,1,9,.0471,.0214,.349,.0443,.0157,-.00571,.00723
2020,3,1,10,.09,.0543,.3,.0471,.0371,-.0214,.028
2020,3,1,11,.0857,.0914,.0971,.0114,.0271,-.02,.0266
2020,3,1,12,.0171,.0457,.179,-.0186,.0357,-.00286,.00304
2020,3,1,13,.0529,.00857,.0671,.179,-.02,.01,-.00596
2020,3,1,14,.0757,.0329,.239,.0357,.0229,-.00286,.00562
2020,3,1,15,.0657,.0329,.0629,.03,.00571,-.00286,.00916
2020,3,1,16,.0671,.04,.171,.00429,.0429,-.0171,.0221
2020,3,1,17,.1,.0343,.177,.123,.0257,-.0157,.0219
2020,3,1,18,.0743,.0143,.131,.03,.0186,-.00429,.0112
2020,3,1,19,.0614,.0243,.0143,.06,.02,-.00714,.0109
2020,3,1,20,.111,.08,.271,.0586,.0257,-.0157,.0227
2020,3,1,21,.0171,.0343,.113,-.0143,.02,-.00143,.000327
2020,3,1,22,.0957,.05,-.196,.159,.03,-.0157,.0198
2020,3,1,23,.0786,.0143,.116,.01,.0329,-.01,.0152
2020,3,1,24,.0857,.0457,.284,.0486,.0214,-.00857,.0112
2020,3,1,25,.07,.0157,.209,.0714,.0271,-.00429,.0071
2020,3,1,26,.117,.0871,.371,.0643,.03,-.0157,.0232
2020,3,1,27,.0686,.136,.303,.0529,.0186,-.01,.0174
2020,3,1,28,.0143,.0814,.04,.0114,.0329,-.00571,.00721
2020,3,1,29,.0114,-.0357,-.00857,.0271,.0171,-.00429,.00801
2020,3,1,30,.109,.0286,.261,.0886,.0243,-.01,.0179
2020,3,1,31,.1,.04,.246,.0471,.0329,-.00714,.0138
2020,3,1,32,.111,.0957,.18,.0686,.0329,-.0157,.0222
2020,3,1,33,.0557,.109,.133,.0229,.0157,-.00714,.00983
2020,3,1,34,.104,.0429,.219,.0543,.0157,-.0114,.0166
2020,3,1,35,.0586,.0329,.241,.0257,.0229,-.01,.0137
2020,3,1,36,.0643,-.00286,.161,.0629,.0129,-.01,.0157
2020,3,1,37,.116,.0443,.236,.0843,.0629,-.0186,.0272
2020,3,1,38,.0286,.0229,-.0257,-.00571,.02,-.00286,.00389
2020,3,1,39,.0514,.0114,.251,.05,.0329,-.0143,.0184
2020,3,1,40,.0886,.104,.354,.0643,.03,-.0143,.0208
2020,3,1,41,.0257,.0414,.164,.0129,.0314,-.00571,.00694
2020,3,1,42,.0629,.03,.123,.0829,.0257,-.00857,.013
2020,3,1,43,.0657,.0386,.0614,.0614,.0229,-.00857,.0137
2020,3,1,44,.333,.289,.553,.436,-.183,.0229,-.0203
2020,3,1,45,.116,.0486,.391,.0643,.0271,-.0143,.0207
2020,3,1,46,.0414,.00143,.0714,.0514,.0157,-.00143,.00566
2020,3,1,47,.11,.0471,.267,.06,.02,-.01,.0141
2020,3,1,48,.0129,.0271,.01,-.0114,.0129,.00143,-.00261
2020,3,1,49,.0914,.1,.513,.0614,.0214,-.0129,.0173
2020,3,1,50,.0743,.109,.153,.0629,.0271,-.00714,.00711
2020,3,1,51,.0657,.0257,.0986,.0229,.0314,-.00857,.0123
2020,3,1,52,.0614,.0486,-.0171,.0371,.0371,-.00857,.0126
2020,3,1,53,.0929,.0586,.337,.103,.0257,-.0129,.0186
2020,3,2,1,.0343,.03,.0886,.0114,.0257,-.00857,.01
