year,month,day,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,4,7,-.71591616,-.38470498,-.43430218,-.35728911
2020,4,8,-.71280825,-.38181823,-.44015816,-.36375743
2020,4,9,-.70778489,-.37679315,-.44553027,-.37010995
2020,4,10,-.70250446,-.36659566,-.44707048,-.37302876
2020,4,11,-.6990422,-.35983375,-.44904897,-.37329978
2020,4,12,-.70817101,-.37594542,-.46774304,-.38225242
2020,4,13,-.70738316,-.3755452,-.47043788,-.38428095
2020,4,14,-.70250237,-.36756814,-.47058529,-.3827481
2020,4,15,-.69600725,-.34714371,-.4651069,-.37293521
2020,4,16,-.69199646,-.33551425,-.45908338,-.36288369
2020,4,17,-.68753254,-.32699797,-.45674434,-.35571867
2020,4,18,-.68172783,-.31777054,-.45337898,-.35077986
2020,4,19,-.66432899,-.30498624,-.43237814,-.3366366
2020,4,20,-.65339065,-.29439366,-.42659834,-.32601437
2020,4,21,-.63802749,-.25519273,-.40756556,-.30438006
2020,4,22,-.63798654,-.26330718,-.40359202,-.30148843
2020,4,23,-.63764137,-.26701355,-.40174443,-.29911581
2020,4,24,-.63492775,-.26370448,-.39898658,-.29483941
2020,4,25,-.62886292,-.25322863,-.39640385,-.29185385
2020,4,26,-.62639815,-.23921631,-.39542904,-.29382148
2020,4,27,-.62961382,-.22531559,-.39489579,-.29260841
2020,4,28,-.64069635,-.24593672,-.4085331,-.30486792
2020,4,29,-.63839871,-.23249815,-.40679544,-.29839733
2020,4,30,-.63438678,-.2198661,-.40360251,-.29208526
2020,5,1,-.62922561,-.19832468,-.39697689,-.28330171
2020,5,2,-.62166548,-.17898306,-.38993797,-.27301481
2020,5,3,-.61505497,-.17149715,-.38300738,-.26562315
2020,5,4,-.60928667,-.16151313,-.37643704,-.25623974
2020,5,5,-.59979969,-.14194657,-.36993611,-.24723236
2020,5,6,-.59789741,-.12551998,-.36431268,-.23988058
2020,5,7,-.5933429,-.10582183,-.35849214,-.23211589
2020,5,8,-.58866304,-.095467776,-.35569564,-.22768535
2020,5,9,-.58221972,-.079864539,-.35302514,-.2216136
2020,5,10,-.56007522,-.094415493,-.35204169,-.22222824
2020,5,11,-.56341279,-.11046685,-.35090265,-.22282609
2020,5,12,-.58548409,-.11719328,-.34853765,-.21930908
2020,5,13,-.58160335,-.11561944,-.34556803,-.21656205
2020,5,14,-.57861,-.11652798,-.34181023,-.21198978
2020,5,15,-.57131737,-.11306738,-.33785301,-.20762257
2020,5,16,-.56536287,-.10939566,-.33381104,-.20529625
2020,5,17,-.57600629,-.086035691,-.32881111,-.2016024
2020,5,18,-.56823659,-.054416824,-.32489514,-.19441931
2020,5,19,-.54429913,-.04433921,-.32143164,-.1888582
2020,5,20,-.53871864,-.037261203,-.31681824,-.18254052
2020,5,21,-.52890372,-.022550847,-.31132397,-.17615525
2020,5,22,-.5189091,-.0044081984,-.30560786,-.1702756
2020,5,23,-.51481777,-.0012326472,-.3017377,-.16902308
2020,5,24,-.50974679,-.0073784236,-.29846594,-.16874437
2020,5,25,-.50997216,-.033176608,-.29620475,-.16857755
2020,5,26,-.51067811,-.029603487,-.29918969,-.16942409
2020,5,27,-.50742495,-.037636299,-.29860574,-.17321706
2020,5,28,-.50680286,-.048525013,-.29808962,-.17607622
2020,5,29,-.50275505,-.062656254,-.29996404,-.18018208
2020,5,30,-.50193089,-.0773701,-.30969825,-.18370436
2020,5,31,-.50255352,-.086228356,-.31863078,-.18686759
2020,6,1,-.49709448,-.078399874,-.32473215,-.19645652
2020,6,2,-.4992924,-.077783503,-.33759189,-.20149519
2020,6,3,-.50667077,-.088859275,-.35313755,-.20830724
2020,6,4,-.51739091,-.097958446,-.36819637,-.21337624
2020,6,5,-.53128421,-.10979738,-.38154387,-.21753962
2020,6,6,-.53499651,-.10847719,-.3846705,-.21639895
2020,6,7,-.53257322,-.0982989,-.38514557,-.21366173
2020,6,8,-.53433812,-.097916983,-.38656682,-.21272175
2020,6,9,-.5319522,-.092616849,-.38496128,-.20951903
2020,6,10,-.5301494,-.091579944,-.38565481,-.2105231
2020,6,11,-.52794594,-.092293344,-.38795546,-.21150035
2020,6,12,-.52677697,-.10131815,-.39159641,-.21871313
2020,6,13,-.52324951,-.10279009,-.39197734,-.22109979
2020,6,14,-.52126008,-.10223525,-.38927329,-.21956721
2020,6,15,-.52005184,-.10211205,-.38706574,-.21546406
2020,6,16,-.52506953,-.098027639,-.3830086,-.21072137
2020,6,17,-.51880795,-.082839973,-.3737967,-.19970496
2020,6,18,-.51408875,-.071083486,-.36652929,-.19393851
2020,6,19,-.50709856,-.049012918,-.35895509,-.18270762
2020,6,20,-.50378335,-.028630098,-.35453004,-.17597154
2020,6,21,-.49418309,-.019749887,-.35390535,-.17646356
2020,6,22,-.49316284,-.01388803,-.35353425,-.17566396
2020,6,23,-.48450997,-.015983928,-.35354906,-.17727952
2020,6,24,-.48482481,-.021590011,-.35479736,-.17883824
