zcta,revenue_all_apr2020,revenue_all_jul2020
2861,-.14,.148
2864,-.709,-.161
2865,-.755,.0266
2871,-.479,-.385
2878,-.742,-.473
2879,-.596,.212
2885,-.64,.367
2886,-.367,.476
2888,-.527,-.254
2889,-.887,-.9
2891,-.502,.102
2893,-.841,-.548
2895,-.48,-.384
2903,-.918,-.457
2904,-.55,.425
2905,-.637,-.124
2906,-.905,-.455
2907,-.567,-.159
2908,-.567,.205
2909,-.419,-.268
2910,-.322,.348
2911,-.698,.31
2914,-.531,-.0865
2915,-.471,.352
2917,-.489,-.548
2919,-.68,-.237
2920,-.669,-.165
2921,-.0822,.284
3031,-.258,.36
3032,.211,.971
3038,-.436,-.2
3042,.,.512
3045,-.732,-.313
3051,-.569,-.0555
3053,-.294,-.0475
3054,-.337,.124
3055,-.739,-.62
3060,-.592,-.207
3062,-.771,-.472
3063,-.854,-.41
3079,-.446,.595
3087,-.197,-.342
3102,-.637,-.65
3103,-.502,.292
3104,-.53,.362
3106,.0342,.0386
3109,-.0817,1.24
3110,-.536,.0407
3220,-.0731,.02
3246,-.219,-.239
3249,-.727,-.204
3254,-.0127,-.187
3255,-.45,.0637
3264,-.0371,-.0903
3281,.0645,-.911
3301,-.0896,.556
3304,-.266,.36
3307,.0902,.327
3431,-.405,-.0133
3584,-.177,.0772
3592,-.537,.948
3609,-.497,.0415
3743,-.474,-.144
3766,-.175,-.097
3773,-.597,-.2
3784,-.635,.327
3801,-.401,-.0261
3818,.,.106
3820,-.639,.529
3833,-.413,-.461
3840,-.538,-.0107
3842,-.622,-.329
3846,-.272,.693
3860,-.568,-.336
3861,-.354,.318
3862,-.282,.266
3865,-.454,.233
3867,-.781,.203
3878,-.979,.177
3885,.,.385
3894,-.507,-.0892
3903,.,-.48
3904,-.597,-.0589
3909,.0657,.23
4005,-.69,-.576
4011,-.976,-.863
4032,-.426,-.423
4039,.119,-.687
4043,-.64,-.303
4062,-.979,-.911
4072,-.521,-.494
4073,-.809,-.74
4074,-.872,-.681
4086,-.1,.331
4092,-.979,-.911
4101,-.979,-.784
4102,-.781,-.453
4103,-.979,-.911
4105,-.979,-.911
4106,-.888,-.738
4210,-.518,-.146
4240,-.497,.0268
4270,.26,.32
4330,-.979,-.646
4345,-.877,-.336
4347,.,-.73
4401,-.373,-.433
4412,-.3,-.657
4444,-.403,-.349
4530,-.356,.137
4543,-.942,-.761
4572,-.422,-.196
4605,.0694,.539
4730,-.282,.253
4736,-.236,.127
4743,.289,-.0306
4769,-.775,-.28
4841,-.184,-.313
4843,-.308,-.38
4856,-.16,-.449
4901,-.979,-.817
4915,-.284,-.203
4938,-.334,.606
4947,.386,.883
4953,.,-.137
4963,-.979,-.766
4976,-.195,.591
5001,-.575,-.355
5149,-.819,-.537
5156,-.233,-.202
5201,-.5,-.315
5251,-.665,-.603
5255,-.471,-.657
5301,-.395,-.356
5346,-.979,-.911
5363,.,.793
5403,-.177,.118
5405,-.428,-.335
5446,-.194,-.169
5452,-.533,.19
5478,-.979,-.911
5482,.,-.0475
5495,-.411,-.334
5641,-.61,-.0338
5663,-.801,-.728
5673,.225,-.183
5676,.289,.212
5701,-.411,.471
5751,.,1.19
5819,-.812,-.554
5851,-.511,-.334
6001,-.435,-.688
6002,-.553,-.0442
6010,-.584,-.143
6019,.005,.275
6029,-.103,.181
6032,-.833,.0269
6033,-.576,-.29
6035,-.536,-.208
6037,-.417,-.256
6039,.386,.593
6040,-.772,-.193
6042,-.606,.288
6051,-.359,.237
6053,-.568,-.337
6062,-.493,-.196
6066,-.206,-.707
6067,-.47,.123
6068,.386,-.168
6069,-.648,-.201
6070,.,-.38
6074,-.538,-.422
6076,.0847,-.187
6082,-.598,.0385
6084,-.233,-.652
6088,-.279,-.179
6095,-.551,-.36
6096,-.834,-.638
6103,-.193,.471
6105,-.0161,.00892
6106,-.323,-.21
6107,-.8,-.377
6108,-.177,.273
6109,-.803,-.297
6110,-.631,.0846
6111,-.34,-.16
6114,-.469,.296
6117,-.439,-.686
6118,.386,1.47
6119,-.417,-.521
6120,-.331,.377
6226,-.472,.464
6234,-.34,.0037
6237,.213,-.385
6239,-.393,-.272
6254,-.394,-.0859
6260,-.442,.109
6320,-.495,-.125
6340,-.509,-.0382
6355,-.776,-.341
6357,-.0444,-.014
6359,-.904,-.289
6360,-.171,.388
6371,-.583,-.1
6379,-.517,-.106
6382,-.29,.607
6385,-.633,-.0916
6401,-.0353,-.169
6405,-.367,-.0786
6410,-.663,-.326
6413,-.276,.673
6415,-.423,.246
6416,-.799,-.459
6418,.116,.777
6426,.386,-.146
6437,-.533,-.294
6443,-.325,-.111
6447,-.415,-.158
6450,-.495,-.103
6451,-.0643,.503
6457,-.648,-.49
6460,-.521,.0374
6461,-.438,.181
6468,-.653,-.0702
6470,-.33,.166
6471,-.117,-.481
6473,-.728,-.453
6475,-.812,-.533
6477,-.492,1.15
6478,-.361,.534
6479,.,-.577
6480,.168,1.47
6482,-.766,-.437
6483,-.67,-.433
6484,-.388,-.182
6488,-.565,-.102
6489,-.27,-.0733
6492,-.549,-.145
6510,-.602,-.359
6511,-.704,-.271
6512,-.418,-.0424
6513,-.54,-.00737
6514,-.241,-.21
6516,-.452,.456
6517,-.588,.0936
6518,-.525,-.199
6525,-.167,.236
6604,-.362,-.0494
6605,-.291,.168
6606,-.642,-.165
6610,-.27,.106
6611,-.537,.0903
6614,-.697,-.668
6615,-.604,-.284
6704,-.505,-.00515
6705,-.453,-.421
6706,-.652,.527
6708,-.447,.0956
6712,-.8,-.597
6716,-.605,-.268
6754,-.78,-.36
6757,.236,.41
6759,-.559,-.262
6762,-.687,-.089
6763,.,.302
6770,-.106,.382
6776,-.529,.827
6777,-.549,.0114
6779,-.175,.066
6787,-.204,.404
6790,-.498,-.214
6795,-.67,.03
6798,-.283,-.163
6801,-.739,-.391
6804,-.548,-.133
6807,-.418,-.0596
6810,-.255,.17
6811,-.658,.0372
6812,-.561,.201
6820,-.585,-.432
6824,-.521,-.203
6825,-.756,-.486
6830,-.766,-.418
6831,-.511,-.241
6840,-.979,-.595
6850,-.16,.541
6851,-.536,-.463
6854,-.475,-.16
6855,-.252,.0795
6877,-.335,-.723
6878,-.944,-.228
6880,-.576,-.413
6901,-.744,-.37
6902,-.36,-.12
6905,-.637,-.269
6907,-.233,.272
7001,-.569,1.47
7002,-.451,-.276
7003,-.536,-.183
7004,-.634,-.397
7005,-.0757,-.37
7006,-.585,-.103
7009,-.75,.148
7010,-.815,-.79
7011,-.516,.413
7013,-.571,-.139
7016,-.513,.269
7017,-.0739,.619
7018,-.565,-.101
7023,-.671,-.195
7024,-.49,-.363
7026,-.488,-.355
7029,-.413,.324
7030,-.686,-.575
7032,-.258,-.0136
7033,-.85,-.578
7036,-.724,-.0071
7039,-.728,.14
7040,-.833,-.579
7041,.,.0267
7042,-.591,-.293
7043,-.644,-.264
7044,-.614,-.262
7045,-.786,-.31
7047,-.41,-.304
7050,-.401,.132
7052,-.623,-.411
7054,-.342,-.0592
7055,-.535,.306
7059,.324,1.47
7060,-.527,-.347
7065,-.5,.291
7066,-.685,.124
7069,.,-.433
7070,-.648,-.212
7071,-.758,-.161
7073,-.823,.753
7074,-.338,-.672
7076,-.244,-.197
7078,.,-.435
7079,.,-.0457
7080,-.415,-.236
7081,-.628,.324
7083,-.618,.134
7087,-.627,.154
7090,-.396,-.097
7092,-.568,.116
7093,-.817,.636
7094,-.666,.0529
7095,-.779,.0808
7102,-.745,.685
7103,-.765,-.451
7104,-.424,.0286
7105,-.617,.144
7109,-.0158,-.197
7110,-.527,-.294
7111,-.712,.02
7114,-.743,-.655
7201,-.741,.129
7202,-.625,-.311
7203,-.319,-.138
7204,-.874,-.725
7205,-.649,.876
7206,-.272,.266
7208,-.453,1.14
7302,-.357,.515
7304,-.55,.486
7305,-.657,-.304
7306,-.737,-.454
7307,-.739,-.451
7310,-.944,.522
7403,-.154,-.185
7405,-.469,.146
7407,-.227,-.117
7410,-.778,-.579
7416,-.513,.112
7419,-.66,.783
7424,-.655,-.451
7430,.0417,-.188
7432,.177,-.242
7435,-.695,-.415
7436,-.5,.691
7438,-.271,-.303
7444,-.595,-.283
7446,-.451,.322
7450,-.658,-.369
7452,.11,-.334
7456,-.979,-.426
7457,-.103,1.28
7461,.0223,.331
7462,-.27,.326
7463,-.617,-.456
7470,-.683,.024
7481,-.698,-.837
7495,-.0879,-.0532
7501,-.344,.579
7502,-.704,-.29
7503,-.576,-.0404
7504,-.588,.116
7505,-.833,.179
7506,.239,1.47
7508,-.518,-.485
7512,-.588,-.124
7601,-.367,-.047
7604,-.561,-.535
7606,.283,.125
7608,.138,-.166
7621,-.743,1.47
7624,-.848,1.22
7628,-.911,-.728
7631,-.621,-.259
7632,-.861,.202
7643,-.743,-.536
7644,-.691,-.441
7645,-.754,-.576
7646,-.0015,1.47
7647,.,.15
7648,-.833,-.778
7652,-.393,-.055
7656,-.562,-.112
7662,-.613,-.402
7663,.321,.273
7666,-.637,-.446
7670,-.831,-.319
7675,-.499,-.277
7701,-.433,.736
7702,-.616,.321
7712,-.328,-.274
7716,-.679,-.233
7718,.,-.495
7719,-.545,-.164
7720,-.289,.00265
7722,-.489,-.0434
7724,-.564,-.172
7726,-.587,-.314
7727,-.604,-.56
7728,-.665,.376
7730,-.569,-.214
7731,-.76,-.498
7735,-.279,-.481
7740,-.836,-.648
7746,-.79,-.568
7747,-.416,.268
7748,-.852,-.192
7753,-.6,-.393
7755,-.655,-.319
7758,-.49,.177
7801,-.626,-.525
7821,-.091,.781
7826,-.464,.0718
7834,-.625,-.399
7836,-.345,-.000367
7840,-.681,.737
7847,-.26,-.0745
7848,-.479,.286
7849,-.665,-.911
7850,-.11,-.00295
7852,-.598,-.0228
7857,-.429,-.361
7860,-.397,.622
7866,-.501,-.0382
7869,-.576,.272
7871,-.417,.442
7876,-.716,-.427
7882,-.503,1.05
7901,-.611,-.0949
7920,-.736,.0568
7921,-.713,.0264
7922,-.713,-.317
7924,-.342,.055
7928,-.101,-.297
7930,-.393,.673
7932,-.153,-.259
7936,-.641,-.748
7940,-.583,-.388
7945,-.879,-.147
7950,-.349,-.299
7960,-.409,-.402
8002,-.359,.588
8003,-.626,-.112
8005,-.5,-.439
8008,-.76,-.461
8009,-.283,-.0181
8010,-.42,.926
8012,-.551,-.148
8014,-.428,.409
8016,-.526,-.0605
8020,-.385,1.26
8021,-.372,.179
8027,-.0936,.956
8028,-.684,.615
8030,-.824,-.136
8031,-.294,-.112
8033,-.662,.0801
8034,-.346,-.19
8035,-.237,.823
8036,-.494,.144
8037,-.0226,.41
8043,-.711,-.168
8046,.0467,.924
8048,-.109,.246
8050,-.477,-.469
8051,-.811,.52
8052,-.411,.334
8053,-.482,-.229
8054,-.37,-.1
8055,-.516,-.0635
8056,-.726,.641
8057,-.607,-.021
8060,-.671,-.285
8062,-.536,.192
8063,-.701,.58
8066,-.333,.88
8069,.347,1.47
8070,.386,1.34
8071,-.45,.294
8075,-.27,.596
8077,-.384,.459
8078,-.194,1.07
8080,-.535,.625
8081,.108,.553
8083,-.694,-.181
8084,-.502,-.12
8085,-.537,.615
8086,-.399,.528
8087,-.529,-.587
8088,-.163,-.532
8091,-.577,.27
8092,-.291,.212
8093,-.397,.97
8094,-.803,.906
8096,-.898,.515
8097,-.636,.784
8098,-.0189,1.04
8102,-.789,1.47
8105,.386,1.39
8106,-.863,.0336
8107,-.389,.801
8108,-.305,.00735
8109,.386,.799
8110,.,.309
8201,-.56,-.258
8204,-.705,-.0275
8205,-.543,-.305
8210,-.623,-.0352
8215,-.0839,.107
8221,.,-.109
8223,.,-.477
8225,-.66,-.317
8226,-.52,-.576
8230,-.575,.142
8232,-.522,-.31
8234,-.129,.331
8240,-.76,-.282
8242,-.223,.228
8244,-.242,-.0445
8251,-.0194,.431
8260,-.827,-.0961
8302,-.491,-.0527
8312,-.934,.723
8318,.00553,1.24
8330,-.344,.553
8332,-.49,.163
8360,-.562,1.03
8401,-.791,-.179
8505,-.646,-.245
8512,-.515,.213
8514,-.704,-.125
8520,-.499,.253
8527,-.239,-.212
8530,.,-.104
8534,-.59,-.439
8536,-.0273,-.377
8540,-.609,-.278
8542,-.958,-.401
8550,-.83,-.242
8551,-.622,-.242
8561,.188,.766
8562,-.521,.135
8608,-.979,-.372
8610,-.179,.823
8611,-.184,.329
8619,-.462,-.215
8628,-.979,-.799
8638,-.604,.58
8648,-.684,.218
8690,-.814,-.452
8691,-.672,.213
8701,-.596,-.229
8721,-.499,-.183
8723,-.469,-.0486
8724,-.232,.518
8731,-.459,-.249
8734,-.776,-.567
8735,-.579,-.243
8736,-.704,-.556
8742,-.524,-.378
8750,-.671,.0921
8753,-.577,.0667
8755,-.276,.591
8758,-.652,-.524
8759,-.547,-.196
8805,.,-.386
8807,-.856,-.118
8809,-.289,.616
8810,-.855,-.424
8812,-.643,.264
8816,-.584,-.156
8817,-.179,1.35
8820,-.667,-.528
8822,-.671,-.0937
8824,-.342,-.0697
8830,-.5,.371
8831,-.307,-.104
8835,-.212,.482
8836,.,-.349
8837,-.717,.508
8840,-.67,-.226
8844,-.276,.255
8846,-.574,-.401
8852,-.457,-.127
8854,-.531,.00547
8857,-.546,-.354
8861,-.664,-.336
8865,-.558,.706
8872,-.635,-.0653
8873,-.526,.371
8876,-.647,.132
8879,-.186,.088
8880,-.0927,.794
8889,-.185,.56
8901,-.637,-.334
8902,-.782,-.702
8904,-.5,-.461
10001,-.827,-.802
10002,-.979,-.911
10003,-.577,-.386
10004,-.577,-.451
10005,-.979,-.216
10006,-.583,-.588
10007,-.659,-.537
10009,-.979,-.911
10010,-.914,-.635
10011,-.503,-.139
10012,-.979,-.548
10013,-.979,-.911
10014,-.954,-.911
10016,-.369,.0695
10017,-.979,-.496
10018,-.97,-.848
10019,-.979,-.748
10020,-.796,.6
10021,-.979,-.832
10022,-.631,-.506
10023,-.974,-.911
10024,-.979,-.911
10025,-.946,-.74
10026,-.979,-.911
10027,-.979,-.4
10028,-.897,-.664
10029,-.888,.484
10031,-.693,.269
10032,-.662,-.707
10033,-.914,-.0396
10034,-.822,-.555
10036,-.837,-.635
10038,-.964,-.911
10040,-.878,-.091
10065,-.951,-.616
10075,-.895,-.455
10103,.,-.911
10119,-.417,-.085
10128,-.79,-.671
10168,-.763,-.62
10177,-.879,.
10301,-.742,-.54
10302,-.42,.278
10303,-.494,-.017
10304,.386,-.148
10305,-.37,-.0839
10306,-.322,-.164
10307,-.714,.204
10308,-.736,-.0439
10309,-.438,.247
10310,-.555,-.191
10312,-.558,-.0955
10314,-.528,-.102
10451,-.531,.576
10452,-.65,.967
10453,-.477,.364
10454,-.435,.0658
10456,-.121,.97
10457,-.339,.917
10458,-.783,.271
10459,-.381,1.09
10460,-.344,1.09
10461,-.566,.169
10462,-.762,.406
10463,-.674,.171
10464,-.979,.134
10465,-.653,.068
10466,-.608,1.03
10467,-.442,.77
10468,-.52,.522
10469,-.697,-.156
10470,-.528,.14
10472,-.486,.706
10473,-.0597,1.06
10474,-.547,.166
10475,-.979,-.308
10504,-.106,.539
10507,-.513,-.355
10509,-.613,.107
10510,.,-.332
10512,-.608,.113
10516,-.236,-.054
10520,-.642,-.575
10522,-.159,.143
10523,-.574,-.232
10524,-.646,.0994
10527,-.503,-.281
10528,-.307,.026
10530,-.0668,-.0333
10532,-.64,.283
10533,-.925,-.474
10536,-.637,-.527
10538,-.739,-.306
10541,-.354,-.0605
10543,-.642,-.315
10546,-.077,-.181
10547,-.789,-.44
10549,-.554,-.19
10550,-.234,.297
10560,-.021,.0453
10562,-.55,-.206
10566,-.893,-.386
10570,-.421,-.367
10573,-.675,-.297
10577,-.632,.827
10580,-.709,-.445
10583,-.569,.167
10589,-.396,.105
10591,-.637,.237
10594,-.745,-.587
10598,-.435,.195
10601,-.786,-.228
10603,-.497,.039
10604,-.38,1.47
10605,-.514,.341
10606,-.52,.
10607,-.73,.365
10701,-.273,.
10704,-.645,-.128
10705,-.365,.173
10706,-.472,-.19
10707,.0394,-.298
10708,-.569,.391
10709,-.39,.412
10710,-.728,-.0253
10801,-.612,-.226
10803,-.612,.32
10804,-.0338,1.09
10805,-.522,-.125
10901,-.437,.000725
10915,-.713,-.911
10917,-.807,-.73
10918,-.774,-.394
10920,-.44,.135
10921,-.43,.032
10924,-.613,-.747
10927,-.706,-.0483
10928,-.792,-.689
10940,-.404,-.318
10941,-.541,-.345
10950,-.54,-.491
10952,-.979,-.911
10954,-.535,.197
10956,-.603,-.269
10958,-.756,-.105
10960,-.817,-.24
10965,-.669,.55
10969,.138,-.0967
10970,-.737,.633
10977,-.573,.21
10980,-.78,-.082
10990,-.566,-.543
10994,.2,.123
11001,-.653,.53
11003,-.531,-.156
11010,-.785,.0089
11021,-.948,-.435
11030,-.699,.179
11040,-.571,.0354
11042,.126,.15
11050,-.688,-.464
11101,-.723,-.511
11102,-.695,-.383
11103,-.697,-.0564
11104,.265,.224
11105,-.674,-.322
11106,-.786,-.0666
11201,-.819,-.336
11203,-.554,.0176
11204,-.708,-.0843
11205,-.789,-.117
11206,-.855,-.41
11207,-.371,.86
11208,-.609,.416
11209,-.777,.304
11210,-.841,-.108
11211,-.752,-.426
11212,-.588,.831
11213,-.379,.655
11214,-.659,-.0155
11215,-.776,-.361
11216,-.187,1.44
11217,-.493,-.0566
11218,-.702,-.0423
11219,-.798,-.337
11220,-.763,.0692
11221,-.444,.0827
11222,-.82,-.566
11223,-.538,-.0736
11224,-.149,.59
11225,-.492,.206
11226,-.259,.416
11228,-.517,-.367
11229,-.629,.0336
11230,-.686,-.294
11231,-.683,-.43
11232,-.61,-.4
11233,-.0368,1.19
11234,-.818,-.32
11235,-.791,-.282
11236,-.526,.273
11237,-.786,.266
11238,-.522,-.294
11354,-.729,-.0992
11355,-.732,-.264
11356,-.921,-.548
11357,-.685,.0246
11358,-.757,-.331
11360,-.908,.579
11361,-.807,-.32
11362,-.14,-.426
11364,-.72,-.299
11365,-.582,-.0362
11366,-.686,-.78
11367,-.646,-.0659
11368,-.691,-.177
11369,-.473,.00025
11370,-.743,-.383
11372,-.868,-.133
11373,-.9,-.468
11374,-.662,-.0863
11375,-.808,-.104
11377,-.578,-.0512
11378,-.381,.0667
11379,-.521,-.355
11385,-.483,.192
11412,-.66,.065
11413,-.442,-.0558
11414,-.559,1.26
11415,-.582,-.564
11416,-.142,.928
11417,.045,1.08
11418,-.606,.303
11419,-.776,-.513
11420,-.545,.116
11421,.119,.0665
11422,-.246,.528
11423,-.521,.0464
11428,-.427,-.373
11429,-.588,.63
11432,-.708,-.233
11433,-.586,.538
11434,-.496,.11
11435,-.752,-.0826
11436,-.715,-.725
11501,-.541,.0443
11507,.,.0304
11510,-.568,-.163
11514,-.964,-.44
11516,-.614,.124
11520,-.463,.151
11530,-.788,.0245
11542,-.628,-.218
11548,.,-.442
11550,-.692,.0506
11552,-.206,.153
11554,-.738,-.0886
11557,-.212,.413
11558,.063,.636
11559,-.548,-.129
11561,-.663,-.354
11563,-.644,-.374
11566,-.626,-.359
11570,-.601,.219
11572,-.561,-.0055
11576,-.738,-.467
11577,-.6,-.363
11580,-.765,-.0287
11581,-.659,.00075
11590,-.219,.0269
11596,-.959,-.525
11598,-.287,.0474
11691,.386,1.25
11692,.0102,.38
11697,.,-.324
11701,-.58,-.0269
11702,-.475,.855
11704,-.118,.52
11705,-.538,-.174
11706,-.583,-.169
11710,-.571,-.149
11713,-.74,.0329
11714,-.218,-.0595
11715,-.676,.831
11716,-.579,.314
11717,-.71,.474
11720,.0143,.0381
11722,-.344,1.08
11725,-.561,-.441
11726,.272,1.06
11727,-.516,.126
11729,-.402,.0395
11730,-.693,-.363
11731,-.549,.0362
11733,-.218,.471
11735,-.705,-.126
11740,-.602,.
11741,-.293,.235
11743,-.243,-.199
11746,-.707,-.325
11747,-.72,-.411
11749,.128,-.521
11751,-.724,-.114
11753,-.131,.121
11754,.0873,.674
11755,-.848,-.462
11756,-.734,.241
11757,-.0758,.244
11758,-.628,.265
11762,-.562,.432
11763,-.621,-.151
11764,-.47,-.268
11766,-.562,-.48
11767,-.718,.579
11768,.386,.255
11769,-.533,-.171
11772,-.68,-.227
11776,-.591,-.226
11777,-.776,-.174
11778,-.613,.222
11779,-.529,-.2
11780,-.617,-.126
11782,-.55,-.519
11783,-.815,-.21
11784,-.598,-.37
11787,-.787,.0246
11788,-.274,-.227
11790,-.335,.427
11791,-.714,-.108
11792,.386,.447
11793,-.823,-.271
11795,-.675,-.0455
11797,-.772,-.456
11801,-.394,-.051
11803,-.813,-.235
11901,-.536,-.045
11933,-.679,.00223
11934,-.478,.0657
11937,-.521,-.207
11940,-.699,-.1
11944,-.688,-.599
11946,-.284,-.0402
11950,-.337,.255
11953,-.493,-.0598
11967,-.526,.146
11968,.0659,-.131
11971,.229,-.258
11972,-.271,.259
11976,-.579,-.428
11978,-.355,-.206
11980,-.866,.293
12010,-.256,.76
12020,-.352,-.156
12033,-.603,.243
12037,-.275,.322
12043,-.185,.454
12047,-.437,-.196
12054,-.23,-.355
12065,-.565,-.0558
12066,-.579,.515
12078,-.374,.361
12083,-.572,.136
12090,-.543,.249
12095,-.241,.0128
12110,-.703,-.492
12118,-.539,-.217
12122,-.188,.901
12144,-.401,-.131
12149,.276,.
12158,.364,.577
12180,-.479,.46
12182,-.624,-.24
12189,-.583,-.313
12198,-.674,-.0235
12202,.356,1.05
12203,-.911,-.435
12204,-.461,-.595
12205,-.682,.175
12206,-.629,-.294
12207,-.813,-.66
12208,-.595,.0478
12210,-.881,-.363
12211,-.43,-.173
12302,-.533,.407
12303,-.575,-.674
