year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,6035,58.6,.594
2020,1,11,6037,13268,.259
2020,1,11,6039,384,.619
2020,1,11,6041,177,.126
2020,1,11,6043,45.5,.597
2020,1,11,6045,168,.432
2020,1,11,6047,1193,1.03
2020,1,11,6049,17.7,.557
2020,1,11,6051,21.5,.252
2020,1,11,6053,1586,.713
2020,1,11,6055,172,.232
2020,1,11,6057,132,.272
2020,1,11,6059,2601,.16
2020,1,11,6061,420,.224
2020,1,11,6063,75.8,.959
2020,1,11,6065,3383,.306
2020,1,11,6067,2235,.314
2020,1,11,6069,176,.561
2020,1,11,6071,3275,.338
2020,1,11,6073,3365,.212
2020,1,11,6075,955,.164
2020,1,11,6077,1769,.541
2020,1,11,6079,273,.194
2020,1,11,6081,502,.109
2020,1,11,6083,637,.292
2020,1,11,6085,1532,.145
2020,1,11,6087,830,.583
2020,1,11,6089,495,.665
2020,1,11,6091,8.33,.628
2020,1,11,6093,150,.869
2020,1,11,6095,716,.342
2020,1,11,6097,604,.233
2020,1,11,6099,1447,.594
2020,1,11,6101,350,.765
2020,1,11,6103,146,.569
2020,1,11,6105,37.4,.796
2020,1,11,6107,1911,.937
2020,1,11,6109,104,.487
2020,1,11,6111,1149,.271
2020,1,11,6113,392,.361
2020,1,11,6115,214,.713
2020,1,11,11001,.,.
2020,1,11,16001,408,.16
2020,1,11,16003,.,.
2020,1,11,16005,34,.0795
2020,1,11,16007,.,.
2020,1,11,16009,11,.268
2020,1,11,16011,32,.134
2020,1,11,16013,28,.227
2020,1,11,16015,.,.
2020,1,11,16017,62,.309
2020,1,11,16019,69,.121
2020,1,11,16021,23,.428
2020,1,11,16023,.,.
2020,1,11,16025,.,.
2020,1,11,16027,159,.152
2020,1,11,16029,7,.169
2020,1,11,16031,21,.172
2020,1,11,16035,14,.482
2020,1,11,16037,.,.
2020,1,11,16039,15,.13
2020,1,11,16041,5,.071
2020,1,11,16043,15,.191
2020,1,11,16045,.,.
2020,1,11,16047,6,.073
2020,1,11,16049,18,.274
2020,1,11,16051,11,.0784
2020,1,11,16053,24,.197
2020,1,11,16055,209,.261
2020,1,11,16057,31,.151
2020,1,11,16059,.,.
2020,1,11,16061,7,.425
2020,1,11,16063,6,.222
2020,1,11,16065,17,.0775
2020,1,11,16067,17,.149
2020,1,11,16069,46,.218
2020,1,11,16071,5,.215
2020,1,11,16073,9,.166
2020,1,11,16075,14,.12
2020,1,11,16077,6,.147
2020,1,11,16079,15,.292
2020,1,11,16081,7,.106
2020,1,11,16083,62,.15
2020,1,11,16085,18,.324
2020,1,11,16087,6,.13
2020,1,11,17001,53.4,.165
2020,1,11,17003,4.91,.239
2020,1,11,17005,21,.268
2020,1,11,17007,296,1.12
2020,1,11,17009,3.54,.118
2020,1,11,17011,51.5,.296
2020,1,11,17013,7.09,.303
2020,1,11,17015,16.6,.227
2020,1,11,17017,14.7,.24
2020,1,11,17019,155,.142
2020,1,11,17021,38.2,.261
2020,1,11,17023,15.3,.198
2020,1,11,17025,24,.368
2020,1,11,17027,61.6,.3
2020,1,11,17029,30,.126
2020,1,11,17031,4980,.192
2020,1,11,17033,15.5,.178
2020,1,11,17035,15,.245
2020,1,11,17037,178,.322
2020,1,11,17039,17.2,.229
2020,1,11,17041,16.4,.159
2020,1,11,17043,662,.13
2020,1,11,17045,8.99,.0997
2020,1,11,17047,4.91,.181
2020,1,11,17049,36,.186
2020,1,11,17051,33.8,.34
2020,1,11,17053,10.4,.16
2020,1,11,17055,38.2,.232
2020,1,11,17057,67.6,.443
2020,1,11,17059,5.72,.243
2020,1,11,17061,13.9,.23
2020,1,11,17063,117,.459
2020,1,11,17065,11.2,.251
2020,1,11,17067,13.4,.158
2020,1,11,17069,3.54,.269
2020,1,11,17071,8.72,.24
2020,1,11,17073,55,.218
2020,1,11,17075,34.1,.235
2020,1,11,17077,37.3,.133
2020,1,11,17079,12.5,.269
2020,1,11,17081,49.3,.281
2020,1,11,17083,28.6,.259
2020,1,11,17085,22.9,.211
2020,1,11,17087,14.4,.348
2020,1,11,17089,523,.191
2020,1,11,17091,161,.287
2020,1,11,17093,158,.231
2020,1,11,17095,50.7,.232
2020,1,11,17097,543,.144
2020,1,11,17099,225,.408
2020,1,11,17101,9.54,.161
2020,1,11,17103,52.6,.297
2020,1,11,17105,37.6,.226
2020,1,11,17107,21.3,.167
2020,1,11,17109,24.5,.182
2020,1,11,17111,344,.208
2020,1,11,17113,142,.161
2020,1,11,17115,120,.245
2020,1,11,17117,62.4,.27
2020,1,11,17119,249,.185
2020,1,11,17121,47.7,.27
2020,1,11,17123,18,.335
2020,1,11,17125,24.8,.391
2020,1,11,17127,8.18,.145
2020,1,11,17129,13.4,.204
2020,1,11,17131,23.4,.287
2020,1,11,17133,32.7,.173
2020,1,11,17135,40.3,.341
2020,1,11,17137,32.4,.196
2020,1,11,17139,10.1,.132
2020,1,11,17141,119,.471
