year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,1,17,44,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,45,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,46,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,47,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,48,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,49,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,50,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,51,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,53,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,54,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,55,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,17,56,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,1,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,2,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,4,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,5,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,6,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,8,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,9,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,10,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,11,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,12,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,13,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,15,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,16,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,17,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,18,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,19,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,20,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,21,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,24,22,.,.,.,.,.,.,.,.,.,.,.,.,.
