year,month,day,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020,1,15,52,.000874,-.0103,.00559,.00504
2020,1,15,53,.00196,.00604,.000559,.000599
2020,1,16,1,-.00263,-.00148,-.00329,-.00159
2020,1,16,2,-.00248,-.00474,-.00241,-.00223
2020,1,16,3,-.00311,-.00548,-.00267,-.00234
2020,1,16,4,-.00601,.,-.00826,-.00305
2020,1,16,5,-.00356,-.00462,-.00391,-.0017
2020,1,16,6,-.00413,-.00133,-.00528,-.00333
2020,1,16,7,-.00301,-.00632,-.00273,-.000494
2020,1,16,8,-.0014,.,-.00289,.000485
2020,1,16,9,-.00281,-.0276,-.00401,.000983
2020,1,16,10,-.00295,.00627,-.0073,-.00365
2020,1,16,11,-.000411,-.000985,-.0052,.0122
2020,1,16,12,-.00255,-.00283,-.00287,-.00217
2020,1,16,13,-.00312,.,.,-.00216
2020,1,16,14,-.0023,-.00967,.,-.00391
2020,1,16,15,-.00313,.000896,.,-.00341
2020,1,16,16,-.0127,-.00305,.,-.00647
2020,1,16,17,-.00294,-.00187,-.00404,-.00201
2020,1,16,18,-.00112,.00277,-.00361,.000464
2020,1,16,19,.00678,.,-.00143,.
2020,1,16,20,-.00402,-.00642,-.00366,-.00095
2020,1,16,21,-.00522,-.00547,-.00161,-.00873
2020,1,16,22,-.00165,-.00519,.,.
2020,1,16,23,.,.,.,.
2020,1,16,24,-.0027,.,-.00268,-.000419
2020,1,16,25,-.00325,-.01,-.00148,-.00325
2020,1,16,26,-.00223,-.00286,-.00135,.
2020,1,16,27,-.00167,.,-.000594,-.000474
2020,1,16,28,-.00459,.,.,-.00608
2020,1,16,29,-.00245,.00266,-.00378,-.00193
2020,1,16,30,-.00307,-.00239,-.00262,-.00451
2020,1,16,31,-.00205,-.0041,-.00103,-.000968
2020,1,16,32,-.00376,.,-.00417,-.00248
2020,1,16,33,-.00207,.00472,-.00475,-.00393
2020,1,16,34,-.000685,.00951,.,-.00502
2020,1,16,35,.00485,-.000946,.00889,-.0000742
2020,1,16,36,-.00313,-.00199,-.00546,-.000645
2020,1,16,37,.000553,.,.0000214,.00147
2020,1,16,38,-.00408,.000109,-.00519,-.00607
2020,1,16,39,-.00311,.,-.00827,-.0102
2020,1,16,40,.00974,-.00325,.,.0137
2020,1,16,41,-.000382,-2.85e-06,-.000413,-.00039
2020,1,16,42,-4.02e-06,-.00645,.00122,.0014
2020,1,16,43,-.00234,-.00531,-.00236,.000227
2020,1,16,44,-.000935,-.000317,-.00132,-.00125
2020,1,16,45,.00292,.,.,.
2020,1,16,46,.00332,.,-.00173,-.00234
2020,1,16,47,-.0116,-.00519,-.0162,-.00351
2020,1,16,48,.00031,.,.,.
2020,1,16,49,-.0102,.00238,-.0134,.
2020,1,16,50,-.00538,-.0141,-.00651,.00805
2020,1,16,51,.,.,.,.
2020,1,16,52,.00191,-.00842,.00664,.00509
2020,1,16,53,.00199,.00664,.000541,.00011
2020,1,17,1,-.00108,-.00263,-.00117,-.000419
