cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
1,2020,2,14,-.00993,-.0422,-.0208,-.000808,.00759,.024,-.0169,.00183,-.0193
1,2020,2,15,-.00949,-.0428,-.0242,.00172,.00832,.0269,-.0155,.00175,-.0188
1,2020,2,16,-.00876,-.0434,-.0256,.00424,.00906,.0287,-.0142,.00192,-.0178
1,2020,2,17,-.00792,-.044,-.0276,.00676,.0098,.0329,-.0134,.00316,-.0173
1,2020,2,18,-.0075,-.0438,-.0267,.00776,.0102,.029,-.0124,.00292,-.0164
1,2020,2,19,-.00593,-.0441,-.0277,.0116,.0113,.0304,-.00974,.00399,-.0148
1,2020,2,20,-.00425,-.0435,-.0295,.0152,.0128,.0322,-.00609,.005,-.0133
1,2020,2,21,-.00249,-.0433,-.031,.0173,.0144,.0327,-.0034,.00583,-.011
1,2020,2,22,-.00249,-.0443,-.0285,.0153,.0132,.0314,-.00169,.00537,-.0113
1,2020,2,23,-.00249,-.0452,-.0276,.0133,.0121,.0333,2.84e-06,.00475,-.0114
1,2020,2,24,-.00191,-.0468,-.0284,.0138,.0116,.0361,.0025,.00494,-.0114
1,2020,2,25,-.00239,-.0479,-.0281,.0116,.0101,.0385,.00346,.00392,-.012
1,2020,2,26,-.00337,-.049,-.0285,.00918,.00864,.0398,.0045,.00269,-.0137
1,2020,2,27,-.00476,-.0511,-.0293,.00738,.00694,.0389,.00407,.00107,-.0153
1,2020,2,28,-.00662,-.0538,-.0298,.00512,.00444,.0377,.00283,-.000531,-.0179
1,2020,2,29,-.00939,-.0548,-.032,.00519,-.00681,.0384,-.00105,-.00327,-.0201
1,2020,3,1,-.0121,-.0558,-.0329,.00527,-.0181,.037,-.00483,-.00549,-.0228
1,2020,3,2,-.0149,-.0568,-.0339,.00534,-.0293,.0347,-.00767,-.00798,-.0259
1,2020,3,3,-.018,-.0577,-.0361,.005,-.0405,.0319,-.0108,-.0109,-.0293
1,2020,3,4,-.0206,-.0591,-.0363,.00473,-.0516,.0297,-.0132,-.0133,-.0321
1,2020,3,5,-.0233,-.0605,-.038,.0046,-.0626,.0284,-.0164,-.0157,-.035
1,2020,3,6,-.0258,-.0608,-.0391,.0052,-.0729,.0274,-.0181,-.0185,-.0375
1,2020,3,7,-.0276,-.0613,-.0381,.00429,-.0766,.0251,-.0197,-.0201,-.0397
1,2020,3,8,-.0285,-.0617,-.0378,.00337,-.0803,.0326,-.0201,-.0217,-.0402
1,2020,3,9,-.0303,-.0621,-.0377,.00246,-.0839,.0323,-.0218,-.0233,-.0422
1,2020,3,10,-.0323,-.0625,-.0373,.00064,-.0876,.0309,-.0234,-.025,-.0447
