year,month,day_endofweek,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,19,11,.0974,.0772,.0303,-.0484,-.0446,.0608,-.0388,.0275,.0457,.0302
2020,1,19,12,.0241,.131,.0259,-.00207,-.00911,.0281,.0358,.029,.0263,.025
2020,1,19,13,.0234,.175,.00727,-.00443,-.0229,.00217,-.00698,.00958,.00971,.00587
2020,1,19,15,.00166,.0166,.0266,.0599,.000661,.0518,-.0108,.0262,.0185,.0294
2020,1,19,16,-.00132,.0189,.0121,.00307,-.00746,-.00426,-.0094,.00887,.0311,.00771
2020,1,19,17,-.0176,.133,.00882,-.0206,-.0195,.00193,.00256,.0151,.0177,.00396
2020,1,19,18,.0278,.0652,.0176,.0292,-.0216,.065,.0319,.0141,.0203,.0181
2020,1,19,19,-.035,-.0195,-.0398,-.0917,-.0326,-.0432,-.0316,-.0549,-.0251,-.0373
2020,1,19,20,.0448,.281,.0267,.0392,-.000199,.0492,.0525,.03,.0133,.0309
2020,1,19,21,.0281,.122,.0195,.0352,-.00977,.0613,.0192,.015,.0288,.019
2020,1,19,22,.0233,.0311,.00604,.00766,-.0175,-.00426,.00854,-.0252,.00431,.0131
2020,1,19,23,-.0285,-.0275,-.00618,-.0584,-.0101,-.0117,.0228,.00483,.00952,-.013
2020,1,19,24,-.0161,.0539,-.0099,-.00486,-.0137,.0133,-.0114,-.00394,-.0381,-.0142
2020,1,19,25,-.0139,.00845,.0062,-.032,-.00836,.0681,.0267,.01,-.0246,.00344
2020,1,19,26,-.0296,-.00297,-.0224,-.0447,-.0327,.0752,-.00926,-.00983,-.0158,-.0266
2020,1,19,27,-.0521,-.00682,-.0309,-.0876,-.0367,-.0227,-.00857,-.0253,-.00859,-.037
2020,1,19,28,.0287,.127,.0106,.0159,-.0358,-.0175,-.00856,-.0373,.0217,.00808
2020,1,19,29,.0853,.157,.0263,.044,-.00422,-.0333,-.0168,.054,.014,.0219
2020,1,19,30,-.00461,.0896,.0325,-.0318,-.0296,-.045,.0589,.0601,.0342,.028
2020,1,19,31,-.0218,.0822,.00354,-.0416,.00234,-.0272,.0563,-.00956,-.0092,.0102
2020,1,19,32,.0212,.031,.0318,-.01,-.0183,.0216,.0528,-.0000403,.0592,.0403
2020,1,19,33,-.0235,.0463,-.00469,-.0257,.00544,-.062,.0174,-.00398,.00859,-.00349
2020,1,19,34,-.00819,.0775,.0137,-.0164,.00456,.0201,.0255,.016,-.00662,.0134
2020,1,19,35,.0149,.127,.0195,-.0244,-.0611,.0524,.0189,.0289,.0156,.0212
2020,1,19,36,-.0113,.0414,.00793,-.0312,-.00401,.0146,.0211,.0105,-.00235,.00816
2020,1,19,37,.022,.0572,.00499,-.0142,-.0273,.0112,.00564,-.00165,-.002,.0117
2020,1,19,38,-.0618,-.0643,-.0297,-.091,-.0139,-.0236,.0188,-.0292,-.011,-.0324
2020,1,19,39,-.0071,.0958,.00195,-.0129,-.016,-.00134,.0126,-.00251,.0202,-.00263
2020,1,19,40,.0262,.119,.02,.0182,-.0106,.000176,.0385,.0118,.0381,.012
2020,1,19,41,-.0081,.0638,-.000202,-.0221,-.049,-.00954,.0152,.0156,-.00441,-.00551
2020,1,19,42,-.0248,.0153,-.00113,-.0411,-.0064,.00644,.0124,-.000385,.00597,-.00383
2020,1,19,44,-.036,-.341,.0149,.0266,.0132,-.0157,.0224,-.00445,.103,-.00371
2020,1,19,45,.0445,.117,.0385,.0182,-.00595,.017,-.0151,.0357,.0465,.0364
2020,1,19,46,-.0818,-.0305,-.0493,-.0966,-.064,-.0484,-.0037,-.049,.0157,-.062
2020,1,19,47,.011,.132,.0122,-.00179,-.00789,.0338,-.000594,.0141,.0141,.0115
2020,1,19,48,.0114,.0677,.017,.00158,-.0213,.018,.0171,.0109,.0214,.0191
2020,1,19,49,.0267,.0833,.0125,-.0149,-.013,-.0424,.0248,.015,.0598,.00316
2020,1,19,50,-.0259,.136,.00762,-.0513,-.0218,.167,.00389,.0273,.0531,-.00123
2020,1,19,51,.0119,.0879,.0133,.00023,-.0102,-.00138,.00865,.0129,.0201,.0119
2020,1,19,53,-.0215,.0396,-.0332,-.0274,-.0695,-.0685,-.00358,-.0203,-.0378,-.0436
2020,1,19,54,.00537,-.0284,.0145,-.0094,.00628,.0872,-.0366,.00198,.0116,.0181
2020,1,19,55,-.0291,.0826,-.0301,-.0571,-.0327,-.00761,-.0318,-.0305,-.017,-.0309
2020,1,19,56,.0305,.273,.0194,-.00383,-.0146,.033,.0673,.00468,.0469,.0204
2020,1,26,1,-.00854,-.044,.000791,-.0121,-.00963,.0285,.0076,.0135,-.00216,.00268
2020,1,26,2,-.121,.226,.0078,.125,.0158,.0138,-.0477,.,.0432,.045
2020,1,26,4,.00542,.0121,-.00466,.00488,.00628,-.00122,-.00513,.00175,-.0107,-.00622
2020,1,26,5,-.0231,.0263,.00271,-.00345,-.0108,.0344,-.00703,.0838,.00589,-.00606
2020,1,26,6,-.0141,.00157,.00592,-.0114,.00515,.0179,.0177,.00578,.000637,.00687
2020,1,26,8,.0206,-.0222,.0141,.0067,-.00123,.00557,.0217,.0122,.00162,.0193
2020,1,26,9,.0415,-.0741,.0158,.0296,.0276,.0195,.0701,.0217,-.015,.00781
2020,1,26,10,.00802,-.255,.0112,-.0149,.00989,.113,.00532,.00507,-.0416,.0173
2020,1,26,11,-.0357,-.0415,.00543,-.039,.00937,.0115,.0874,.00899,-.0584,.0183
2020,1,26,12,.00138,.0106,.00739,.0166,.0211,-.000949,.00413,.00108,.0000614,.012
2020,1,26,13,-.00979,-.0811,-.000395,.00128,.00508,-.00964,.0306,-.00364,-.00658,.00351
2020,1,26,15,.031,.0885,.0164,.00846,.00135,.0365,.00833,.0172,.0774,.0128
2020,1,26,16,-.000424,.139,.00747,.0376,.026,.0048,-.0405,-.00112,-.0195,.0156
2020,1,26,17,-.000865,-.192,-.0241,-.0381,-.00872,-.00162,-.0646,-.029,-.0153,-.0237
2020,1,26,18,-.0328,-.00854,-.0128,-.0609,-.0142,-.0248,.0112,-.0216,.0000567,-.0137
2020,1,26,19,.0219,.147,.0274,.0436,-.00682,.0747,-.028,.0254,.0336,.0285
2020,1,26,20,.0224,.0455,.0143,.0185,.00912,-.0561,.046,.0276,.0444,-.00163
2020,1,26,21,-.0162,-.0252,-.00818,-.0206,.0104,-.063,.0122,-.0722,-.00827,-.00117
2020,1,26,22,.0197,-.00418,.025,-.0111,-.008,.0474,-.00116,.0949,-.0042,.0313
2020,1,26,23,.0141,-.0591,.031,.044,.0366,.0208,.0641,.00806,.0413,.0285
2020,1,26,24,-.0165,.00298,-.00609,-.0155,.00889,-.0366,.0107,-.0136,.028,.00308
2020,1,26,25,.0112,-.0416,.0147,-.00388,.0483,.00336,.0208,.00925,.03,.0212
2020,1,26,26,.015,.0102,-.0203,.0134,-.0386,-.0497,-.0567,-.0268,-.0146,-.02
2020,1,26,27,.0463,.0303,.0137,.0497,-.0192,.00546,-.0398,.0128,.0379,.0127
2020,1,26,28,-.0186,-.139,.0123,-.0189,.0482,.134,.016,.0521,.0067,.0101
2020,1,26,29,-.083,-.00808,-.0167,-.0299,-.00515,.0011,-.0438,-.0154,-.0296,-.00868
2020,1,26,30,-.0128,-.047,-.0000324,.0878,.00409,-.187,.0537,.00149,-.0218,-.00721
2020,1,26,31,-.000916,-.0257,-.000465,-.00886,-.00534,.0566,-.005,.00427,.0452,-.00919
2020,1,26,32,-.0121,-.0868,.0033,.00556,.00397,-.112,.0128,.00279,.0283,-.00502
2020,1,26,33,.00957,-.0326,.022,-.0164,.03,-.0508,.0374,.00641,.126,.0362
2020,1,26,34,.000944,.00905,.0157,.0116,.0351,.0279,.0148,.0196,.0363,.00476
2020,1,26,35,-.0206,.0256,.00749,.0667,.0206,.0121,.0281,-.00503,-.00259,.0138
2020,1,26,36,.0116,.00934,.0221,.00638,.0349,.00752,.112,.0304,.0182,.0144
2020,1,26,37,-.0102,-.0308,-.0000735,.00486,.0208,-.0269,.0187,.0146,-.00547,-.00681
2020,1,26,38,.0264,-.037,.0119,.0495,.0112,.00708,-.0237,.0165,.0161,.0115
2020,1,26,39,-.0188,-.017,-.0133,-.00121,-.00365,-.0354,-.00283,-.016,-.0137,-.00934
2020,1,26,40,.00593,.0585,.00253,.0198,.0219,-.0827,-.0127,-.0129,.00524,.00512
2020,1,26,41,-.0262,.026,.01,-.0158,-.00227,.0533,-.0193,.0205,.0822,-.00538
2020,1,26,42,-.00218,-.016,.0169,.0236,.0429,.0363,.0363,.021,.0272,.0106
2020,1,26,44,.0397,.297,-.00818,.0163,.0486,.0465,-.0835,.0139,-.0339,-.00565
2020,1,26,45,-.0187,-.0108,.00764,.00943,.0192,.0384,.00919,.0286,.00755,.00374
2020,1,26,46,.0602,-.0661,.0132,.0284,.0295,.0338,-.0698,.0198,-.0185,.0194
2020,1,26,47,-.0127,-.0349,-.0116,-.0137,-.00318,-.0659,-.0254,.00913,-.0114,-.0153
2020,1,26,48,.00234,.0437,.00759,-.00779,.0144,.00749,-.0124,-.00186,.00937,.0144
2020,1,26,49,.0219,.0806,.0127,.035,-.00124,.0475,-.0116,.0235,.0286,.00315
2020,1,26,50,.0295,-.231,.028,-.0292,.0393,-.0647,.136,-.0268,-.0947,.0545
2020,1,26,51,-.0171,-.000804,-.000701,-.0178,.0271,-.0193,.0284,-.00974,.00337,.00772
2020,1,26,53,.0293,.0116,.0295,.00909,-.000593,.0516,.0138,.0169,.0445,.0392
2020,1,26,54,-.0264,-.232,.00332,-.028,.0239,-.0128,.00604,.038,.0135,-.00515
2020,1,26,55,.0248,-.041,-.0192,-.000749,-.0675,-.0215,-.02,-.0189,-.017,-.0193
2020,1,26,56,.0529,-.0378,.0111,.00188,-.0103,.0381,.0175,-.0163,-.00477,.0207
2020,2,2,1,-.00147,-.108,-.0226,-.0108,.0188,-.0345,-.0196,-.0196,-.0248,-.0224
2020,2,2,2,.15,-.261,.00614,.0488,.0326,-.216,.00407,.,-.143,.0623
2020,2,2,4,.00865,.0327,.00247,.0285,.00834,-.0000938,-.0474,.0109,.0107,-.00516
2020,2,2,5,.0177,-.0386,.0109,.0407,.00292,.0643,-.0432,.0756,.0183,.00401
2020,2,2,6,.00546,-.0424,-.0168,.0126,.00114,-.0197,-.0304,-.0218,-.00947,-.00888
2020,2,2,8,-.0421,-.028,-.0327,-.0243,.0191,.0237,-.027,-.0506,-.0367,-.0133
2020,2,2,9,-.0135,.0462,-.0304,.0748,-.028,-.0466,-.117,-.0242,-.0702,-.0365
2020,2,2,10,-.0303,-.0128,-.0586,-.039,.0162,-.195,-.0266,-.0854,-.0789,-.0461
2020,2,2,11,-.0595,-.0298,-.0238,.0814,.0168,.0493,.0101,-.0327,-.00512,.0223
2020,2,2,12,-.0191,-.0591,-.0288,-.0097,-.0224,-.0215,-.0596,-.0248,-.0244,-.0316
2020,2,2,13,-.00239,-.106,-.0148,-.0173,-.00569,-.00204,-.0502,-.0222,-.0234,-.00813
2020,2,2,15,-.00235,-.0393,-.03,-.0627,.0134,-.0885,-.0254,-.0253,-.136,-.0316
2020,2,2,16,.0183,-.108,-.015,-.0413,-.0224,-.0414,-.00367,-.00174,.0117,-.0215
2020,2,2,17,.0525,.0263,.0135,.0702,.0328,.065,.0614,.0144,-.0113,.0184
2020,2,2,18,-.0537,-.162,-.0245,.0107,.012,-.0254,-.0494,-.022,-.0434,-.0222
2020,2,2,19,.0945,.0317,.038,.0922,.0147,.129,.0661,.0574,.00469,.0362
2020,2,2,20,-.0253,-.257,-.0275,-.00736,-.00676,-.0247,-.0324,-.0444,-.00935,-.0261
2020,2,2,21,-.0272,-.127,-.0118,-.0351,.0071,-.0111,-.0129,.0393,-.019,-.0168
2020,2,2,22,-.0605,-.126,-.0226,.0247,.017,-.0256,-.0322,-.0105,-.0132,-.0312
2020,2,2,23,.00116,.0591,-.0313,.0148,-.0287,-.0958,-.0619,-.0246,-.0471,-.0252
2020,2,2,24,.0116,-.0556,.00351,.00188,.0183,.0561,-.0156,.00445,.00731,-.002
2020,2,2,25,-.00656,.0352,-.0277,.0354,-.0257,-.0262,-.0642,-.0242,.0496,-.0428
2020,2,2,26,.065,.0199,.04,.0837,.0414,.0998,.0293,.0189,.035,.0451
2020,2,2,27,.0306,-.0232,.0249,.0529,.0331,.0314,.021,.0216,.0237,.0279
2020,2,2,28,.0114,.14,-.0246,.00725,-.004,-.0252,-.0767,-.047,-.0225,-.0307
2020,2,2,29,-.0285,-.201,-.0338,.00161,.0255,-.000389,.0171,-.0458,-.0252,-.0344
2020,2,2,30,.023,.159,-.017,.0625,.0508,-.0184,-.0656,-.135,.00586,-.0122
2020,2,2,31,.0202,-.0663,-.0108,.031,-.00759,.000452,-.0923,.00489,-.0308,-.0139
2020,2,2,32,-.00419,.129,-.0106,.078,.00893,.0281,-.0465,.015,-.0627,-.00824
2020,2,2,33,.0198,.0136,-.0194,.0363,-.0359,.0484,-.0413,-.00752,-.0905,-.0306
2020,2,2,34,.000655,-.0441,-.0232,-.000379,-.0176,-.0425,-.0612,-.025,-.0292,-.0185
2020,2,2,35,-.0169,-.0939,-.014,-.0504,.0796,-.0625,-.0333,-.0473,-.00888,-.0134
2020,2,2,36,.00865,-.0164,-.0178,.0437,-.0154,-.0287,-.0748,-.0194,-.0053,-.0184
2020,2,2,37,-.00486,-.0215,-.00747,-.000778,.0146,.0273,-.0378,-.0119,.00332,-.00952
2020,2,2,38,.0414,.0734,.0202,.0523,-.0109,.0472,-.0449,.0148,-.0113,.0273
2020,2,2,39,-.00353,-.0794,-.0103,-.0253,.0065,.0156,-.0252,.00304,-.0337,-.00635
2020,2,2,40,-.0148,-.0587,-.0162,-.0194,-.0158,.0803,-.0199,-.0275,-.0325,-.00252
2020,2,2,41,.0194,-.023,-.0134,.0204,-.0173,-.0673,-.0135,-.0465,-.00929,-.00134
2020,2,2,42,.00864,.0346,-.00724,.0115,-.0105,-.0186,-.0413,.00013,-.0237,-.00793
2020,2,2,44,-.0766,.193,-.00252,.00884,-.0527,-.0264,.087,.0709,-.146,-.0167
2020,2,2,45,-.0178,-.0894,-.0396,-.015,-.0131,-.0544,-.00638,-.0448,-.0483,-.0357
2020,2,2,46,.0387,.0659,.0341,.0514,.0356,-.0106,.00271,-.0278,.0271,.0439
2020,2,2,47,.0251,-.072,-.000185,.0121,.0101,.0161,.0115,-.0124,-.00318,.00274
2020,2,2,48,.00543,-.0195,-.0169,.00613,-.00187,-.0129,-.014,-.00845,-.0301,-.0176
2020,2,2,49,-.0194,-.0621,-.00769,-.0268,-.00269,.0284,-.0186,-.0312,-.0758,.0178
2020,2,2,50,-.0497,.0847,-.0666,.0271,-.00712,-.219,-.0828,-.00441,-.121,-.0732
2020,2,2,51,-.024,-.108,-.0144,-.0231,.00944,-.00209,-.0421,-.0167,-.0188,-.0099
2020,2,2,53,.027,-.0526,-.0102,.00663,-.0207,-.0116,-.0273,-.015,-.0223,-.00423
2020,2,2,54,-.000356,.21,-.00831,.0128,-.0103,.0252,.0452,-.0493,-.0073,-.0126
2020,2,2,55,.0934,.0327,.073,.117,.0645,.144,.065,.0821,.0426,.0736
2020,2,2,56,-.0804,-.183,-.0165,-.0383,.0166,-.0731,-.0249,.0413,-.0944,-.0225
2020,2,9,1,-.0137,.0855,.00292,-.0785,.0517,-.026,-.0292,-.00108,.0223,-.0141
2020,2,9,2,.0178,.131,.0334,-.0257,-.0016,-.321,.069,.,.113,.0473
2020,2,9,4,-.00662,.0756,.0334,-.0124,.0176,.0549,.0261,.0348,.0484,.0273
2020,2,9,5,.000516,-.0464,.00658,-.00723,.0413,-.0435,-.0232,.0695,.00789,.00292
2020,2,9,6,-.0101,.034,.0331,-.0171,.0233,.0351,.0306,.03,.0504,.036
2020,2,9,8,-.0819,.0267,-.0335,-.109,-.0295,-.0308,-.0746,-.0528,.0134,-.0235
2020,2,9,9,-.0435,.0863,-.0203,.0142,-.029,.0354,-.0856,-.0132,-.0387,-.0317
2020,2,9,10,-.0971,-.299,-.0775,-.0464,-.0607,-.0653,-.151,-.0695,.00129,-.0854
2020,2,9,11,-.0524,-.0833,-.0112,-.0256,.0476,-.0984,-.08,-.00995,.00396,-.0268
2020,2,9,12,-.0317,-.00886,-.00516,-.0153,.0226,-.0307,-.0811,-.00695,.00432,-.00837
2020,2,9,13,-.049,.282,-.0115,-.0551,.0153,-.0195,-.0622,-.00713,-.0205,-.0105
2020,2,9,15,-.05,.104,-.00423,-.00951,.0207,-.0394,.0252,.00253,-.0659,-.0107
2020,2,9,16,.00202,.00433,.0384,.0627,.0319,.0816,.0165,.0189,.0551,.0348
2020,2,9,17,-.0515,.0719,-.0169,-.0335,.0211,-.0254,-.0595,-.0248,-.0156,-.0135
2020,2,9,18,-.0422,.0182,-.024,-.0373,.0216,-.0419,-.0698,.00772,.0112,-.0436
2020,2,9,19,.0131,-.0783,.0224,.0643,.00716,-.0627,-.0338,.0213,-.00366,.0229
2020,2,9,20,.0122,.0273,.00659,.1,-.0244,-.0783,-.101,-.00598,.04,-.000796
2020,2,9,21,-.0237,.116,-.0119,-.013,.0424,-.0307,-.104,-.00828,-.0133,-.0119
2020,2,9,22,-.0238,-.00523,-.00569,-.015,.0197,-.03,-.0435,-.026,-.0037,-.00143
2020,2,9,23,-.128,-.0216,-.0253,-.0561,.0183,-.0466,-.0258,-.0243,-.0396,-.0204
2020,2,9,24,-.0628,.0746,-.0101,-.0429,-.0119,.042,-.0901,-.0106,.0164,-.0219
2020,2,9,25,-.0454,-.00353,-.0104,-.0489,.0153,-.0049,-.011,-.0109,.0773,-.0138
2020,2,9,26,-.0192,.136,-.00512,-.0423,.0111,-.0923,-.0942,-.0417,.0114,-.00393
2020,2,9,27,.0323,.104,.0607,.0908,.0343,.0771,.0255,.0619,.0763,.0586
2020,2,9,28,-.0442,.0161,-.0364,.00745,-.000843,-.013,-.0936,.0496,-.0279,-.0635
2020,2,9,29,-.0305,-.127,.0118,.129,.0213,-.0626,-.0743,.00984,-.00918,.0151
2020,2,9,30,.157,.139,.12,.197,.0461,-.00361,-.0196,-.245,.135,.129
2020,2,9,31,.00888,-.0163,.0222,.0309,-.0113,-.0234,.00527,.0304,.0394,.0165
2020,2,9,32,.035,.0989,.0352,-.00942,.0308,.0447,.0496,.0243,.0993,.0222
2020,2,9,33,-.0507,-.149,-.0103,-.0578,-.00672,-.000148,-.0624,-.0124,.00593,-.013
2020,2,9,34,-.0255,.0315,-.00547,-.0423,-.00877,.000793,-.0285,-.00911,.00974,-.00328
2020,2,9,35,-.0913,.147,-.0231,.0159,.034,-.0448,-.0432,-.03,-.0274,-.0203
2020,2,9,36,-.0777,.0712,-.0201,-.0626,-.0187,-.0542,-.0253,-.0087,-.0272,-.03
2020,2,9,37,-.0457,.0169,-.0117,-.0368,.0214,.01,-.0355,.000563,-.0157,-.0161
2020,2,9,38,.0412,.0897,.0647,.0874,.051,.0527,.0222,.0529,.0734,.0663
2020,2,9,39,-.0623,-.032,-.0194,-.017,.0193,-.0337,-.139,-.028,-.00789,-.0242
2020,2,9,40,-.03,.0371,-.0112,.00133,.0145,-.151,-.0865,-.00259,-.00906,-.0154
2020,2,9,41,.0339,.153,.0446,.0934,-.0227,.0983,.0553,-.0185,.0373,.0677
2020,2,9,42,-.0309,-.00998,-.0313,-.0659,-.0291,-.0154,-.0428,-.0258,-.0193,-.0397
2020,2,9,44,-.0891,.00527,.00782,-.0263,.0262,-.195,-.101,-.0271,.0707,.00881
2020,2,9,45,-.0336,-.0779,-.0141,-.0498,.0311,-.0549,-.0427,-.0135,-.0266,-.00944
2020,2,9,46,.0516,.0588,.104,.156,.00377,.188,.0231,.00892,.156,.113
2020,2,9,47,-.0341,.0732,-.00694,-.016,.0293,-.0151,-.0898,.0411,-.0227,-.0014
2020,2,9,48,.00354,.162,.0251,.00655,.0318,.028,-.000263,.0286,.0233,.0231
2020,2,9,49,-.00641,.0402,.0106,-.00697,.00952,-.0443,-.119,.0219,-.0152,.00374
2020,2,9,50,-.158,.131,-.0685,-.233,.000976,-.21,-.0476,-.147,.0164,-.0659
2020,2,9,51,-.0459,.181,-.0098,-.0493,.0147,.012,-.00908,.00194,-.0156,-.0212
2020,2,9,53,.177,.263,.135,.187,-.0683,.249,.141,.154,.08,.125
2020,2,9,54,-.132,.0294,-.0637,-.0208,-.0386,-.0257,-.0658,.0337,-.0333,-.0927
2020,2,9,55,-.0105,.00657,-.00209,-.0297,-.00969,.0333,-.062,-.0164,-.00113,.00192
2020,2,9,56,-.0934,.00156,-.0478,-.094,-.0341,-.0747,-.0885,-.0542,-.01,-.0496
2020,2,16,1,-.0443,-.00749,-.0173,-.0143,.0269,-.0903,-.107,-.03,-.00827,-.0236
2020,2,16,2,.0554,.16,.0601,.0274,.014,-.214,.174,.,-.109,.04
2020,2,16,4,-.0216,.0316,.011,-.023,.00917,.0252,.0453,.00359,.0371,.00715
2020,2,16,5,-.0312,-.00867,-.0178,-.0136,-.00632,-.0398,-.0535,.0823,-.0327,-.0124
2020,2,16,6,.0088,.0765,.0211,.00188,.0284,.0314,-.00461,.0183,.00883,.0284
