year,month,day_endofmonth,countyfips,freq,spend_all,spend_s_all,provisional
2020,1,31,8109,m,0,0,0
2020,1,31,8113,m,0,0,0
2020,1,31,8117,m,0,0,0
2020,1,31,8119,m,0,0,0
2020,1,31,8121,m,0,0,0
2020,1,31,8123,m,0,0,0
2020,1,31,8125,m,0,0,0
2020,1,31,9001,m,0,0,0
2020,1,31,9003,m,0,0,0
2020,1,31,9005,m,0,0,0
2020,1,31,9007,m,0,0,0
2020,1,31,9009,m,0,0,0
2020,1,31,9011,m,0,0,0
2020,1,31,9013,m,0,0,0
2020,1,31,10001,m,0,0,0
2020,1,31,10003,m,0,0,0
2020,1,31,10005,m,0,0,0
2020,1,31,11001,m,0,0,0
2020,1,31,12001,m,0,0,0
2020,1,31,12003,m,0,0,0
2020,1,31,12005,m,0,0,0
2020,1,31,12007,m,0,0,0
2020,1,31,12009,m,0,0,0
2020,1,31,12011,m,0,0,0
2020,1,31,12013,m,0,0,0
2020,1,31,12015,m,0,0,0
2020,1,31,12017,m,0,0,0
2020,1,31,12019,m,0,0,0
2020,1,31,12021,m,0,0,0
2020,1,31,12023,m,0,0,0
2020,1,31,12027,m,0,0,0
2020,1,31,12031,m,0,0,0
2020,1,31,12033,m,0,0,0
2020,1,31,12035,m,0,0,0
2020,1,31,12037,m,0,0,0
2020,1,31,12039,m,0,0,0
2020,1,31,12041,m,0,0,0
2020,1,31,12045,m,0,0,0
2020,1,31,12047,m,0,0,0
2020,1,31,12051,m,0,0,0
2020,1,31,12053,m,0,0,0
2020,1,31,12055,m,0,0,0
2020,1,31,12057,m,0,0,0
2020,1,31,12059,m,0,0,0
2020,1,31,12061,m,0,0,0
2020,1,31,12063,m,0,0,0
2020,1,31,12065,m,0,0,0
2020,1,31,12067,m,0,0,0
2020,1,31,12069,m,0,0,0
2020,1,31,12071,m,0,0,0
2020,1,31,12073,m,0,0,0
2020,1,31,12075,m,0,0,0
2020,1,31,12077,m,0,0,0
2020,1,31,12079,m,0,0,0
2020,1,31,12081,m,0,0,0
2020,1,31,12083,m,0,0,0
2020,1,31,12085,m,0,0,0
2020,1,31,12086,m,0,0,0
2020,1,31,12087,m,0,0,0
2020,1,31,12089,m,0,0,0
2020,1,31,12091,m,0,0,0
2020,1,31,12093,m,0,0,0
2020,1,31,12095,m,0,0,0
2020,1,31,12097,m,0,0,0
2020,1,31,12099,m,0,0,0
2020,1,31,12101,m,0,0,0
2020,1,31,12103,m,0,0,0
2020,1,31,12105,m,0,0,0
2020,1,31,12107,m,0,0,0
2020,1,31,12109,m,0,0,0
2020,1,31,12111,m,0,0,0
2020,1,31,12113,m,0,0,0
2020,1,31,12115,m,0,0,0
2020,1,31,12117,m,0,0,0
2020,1,31,12119,m,0,0,0
2020,1,31,12121,m,0,0,0
2020,1,31,12123,m,0,0,0
2020,1,31,12125,m,0,0,0
2020,1,31,12127,m,0,0,0
2020,1,31,12129,m,0,0,0
2020,1,31,12131,m,0,0,0
2020,1,31,12133,m,0,0,0
2020,1,31,13009,m,0,0,0
2020,1,31,13013,m,0,0,0
2020,1,31,13015,m,0,0,0
2020,1,31,13021,m,0,0,0
2020,1,31,13023,m,0,0,0
2020,1,31,13029,m,0,0,0
2020,1,31,13031,m,0,0,0
2020,1,31,13033,m,0,0,0
2020,1,31,13035,m,0,0,0
2020,1,31,13039,m,0,0,0
2020,1,31,13045,m,0,0,0
2020,1,31,13047,m,0,0,0
2020,1,31,13049,m,0,0,0
2020,1,31,13051,m,0,0,0
2020,1,31,13057,m,0,0,0
2020,1,31,13059,m,0,0,0
2020,1,31,13063,m,0,0,0
2020,1,31,13067,m,0,0,0
2020,1,31,13069,m,0,0,0
2020,1,31,13071,m,0,0,0
2020,1,31,13073,m,0,0,0
2020,1,31,13077,m,0,0,0
2020,1,31,13085,m,0,0,0
2020,1,31,13087,m,0,0,0
2020,1,31,13089,m,0,0,0
2020,1,31,13091,m,0,0,0
2020,1,31,13095,m,0,0,0
2020,1,31,13097,m,0,0,0
2020,1,31,13103,m,0,0,0
2020,1,31,13107,m,0,0,0
2020,1,31,13111,m,0,0,0
2020,1,31,13113,m,0,0,0
2020,1,31,13115,m,0,0,0
2020,1,31,13117,m,0,0,0
2020,1,31,13119,m,0,0,0
2020,1,31,13121,m,0,0,0
2020,1,31,13123,m,0,0,0
2020,1,31,13127,m,0,0,0
2020,1,31,13129,m,0,0,0
2020,1,31,13131,m,0,0,0
2020,1,31,13133,m,0,0,0
2020,1,31,13135,m,0,0,0
2020,1,31,13137,m,0,0,0
2020,1,31,13139,m,0,0,0
2020,1,31,13143,m,0,0,0
2020,1,31,13145,m,0,0,0
2020,1,31,13147,m,0,0,0
2020,1,31,13151,m,0,0,0
2020,1,31,13153,m,0,0,0
2020,1,31,13157,m,0,0,0
2020,1,31,13159,m,0,0,0
2020,1,31,13169,m,0,0,0
2020,1,31,13171,m,0,0,0
2020,1,31,13175,m,0,0,0
2020,1,31,13177,m,0,0,0
2020,1,31,13179,m,0,0,0
2020,1,31,13185,m,0,0,0
2020,1,31,13187,m,0,0,0
2020,1,31,13191,m,0,0,0
2020,1,31,13195,m,0,0,0
2020,1,31,13197,m,0,0,0
2020,1,31,13199,m,0,0,0
2020,1,31,13207,m,0,0,0
2020,1,31,13211,m,0,0,0
2020,1,31,13213,m,0,0,0
2020,1,31,13215,m,0,0,0
2020,1,31,13217,m,0,0,0
2020,1,31,13219,m,0,0,0
2020,1,31,13223,m,0,0,0
2020,1,31,13225,m,0,0,0
2020,1,31,13227,m,0,0,0
2020,1,31,13231,m,0,0,0
2020,1,31,13233,m,0,0,0
2020,1,31,13237,m,0,0,0
2020,1,31,13241,m,0,0,0
2020,1,31,13245,m,0,0,0
2020,1,31,13247,m,0,0,0
2020,1,31,13255,m,0,0,0
2020,1,31,13257,m,0,0,0
2020,1,31,13261,m,0,0,0
2020,1,31,13275,m,0,0,0
2020,1,31,13277,m,0,0,0
2020,1,31,13281,m,0,0,0
2020,1,31,13285,m,0,0,0
2020,1,31,13289,m,0,0,0
2020,1,31,13291,m,0,0,0
2020,1,31,13295,m,0,0,0
2020,1,31,13297,m,0,0,0
2020,1,31,13299,m,0,0,0
2020,1,31,13303,m,0,0,0
2020,1,31,13305,m,0,0,0
2020,1,31,13311,m,0,0,0
2020,1,31,13313,m,0,0,0
2020,1,31,15003,m,0,0,0
2020,1,31,15007,m,0,0,0
2020,1,31,15009,m,0,0,0
2020,1,31,16001,m,0,0,0
2020,1,31,16005,m,0,0,0
2020,1,31,16011,m,0,0,0
2020,1,31,16013,m,0,0,0
2020,1,31,16017,m,0,0,0
2020,1,31,16019,m,0,0,0
2020,1,31,16021,m,0,0,0
2020,1,31,16023,m,0,0,0
2020,1,31,16027,m,0,0,0
2020,1,31,16031,m,0,0,0
2020,1,31,16037,m,0,0,0
2020,1,31,16039,m,0,0,0
2020,1,31,16041,m,0,0,0
2020,1,31,16043,m,0,0,0
2020,1,31,16045,m,0,0,0
2020,1,31,16047,m,0,0,0
2020,1,31,16049,m,0,0,0
2020,1,31,16051,m,0,0,0
2020,1,31,16053,m,0,0,0
