year,month,day,statefips,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,1,11,36,.024336016,.011961786,-.0012236251,-.0017574473
2020,1,11,37,-.010522267,-.038428079,.0027911062,-.0026188388
2020,1,11,38,.022918859,-.11342289,-.0037016126,-.033652063
2020,1,11,39,-.042668633,-.055720348,-.010695979,-.026446218
2020,1,11,40,-.03870935,-.021459155,.0039194436,-.012224243
2020,1,11,41,.074989989,.01302,.011395011,.0055051614
2020,1,11,42,-.036006976,-.025179315,-.0076095443,-.014751897
2020,1,11,44,-.041230813,.047751088,-.025370721,.018156009
2020,1,11,45,-.0096222544,-.052524611,.0050797863,.00091963803
2020,1,11,46,.0013546532,-.094739854,-.003339797,.0054879608
2020,1,11,47,-.037163142,-.01081245,.0010114525,.0077676293
2020,1,11,48,-.018862799,.00060196122,-.0034986497,.0017913454
2020,1,11,49,.0029757991,.010096577,.004995523,.02364582
2020,1,11,50,-.047494516,-.097973391,-.013426422,-.041439451
2020,1,11,51,-.032899242,-.033804011,-.0052649849,-.018824972
2020,1,11,53,.00863651,.033393886,.018651634,.027619688
2020,1,11,54,-.040898193,-.075843699,.0085970173,-.019611835
2020,1,11,55,-.091191813,-.04295025,-.016049638,-.032720596
2020,1,11,56,-.057857398,.015607904,-.029211491,-.0078090569
2020,1,12,1,-.048859034,-.040219951,-.004458834,-.0074628079
2020,1,12,2,.032411903,.09326259,.012202281,.0064587421
2020,1,12,4,.0014249895,.0034896715,-.0051069465,.0087867267
2020,1,12,5,-.080101401,-.0089914091,-.019333694,-.0013546498
2020,1,12,6,-.0035266988,-.0038241984,-.0014592481,.0014208666
2020,1,12,8,.019748626,-.02391308,-.0035210804,.00079833658
2020,1,12,9,-.009991426,.060920615,-.0024456924,.0006203638
2020,1,12,10,.0043294909,-.011862161,-.0047267238,.0011541088
2020,1,12,11,-.050831206,-.16549069,-.044004451,-.022615589
2020,1,12,12,-.018556979,-.022242466,-.00037815343,.0042867213
2020,1,12,13,-.047819149,-.050280068,-.00029425157,.00076058705
2020,1,12,15,.0055169105,-.074717253,.012487717,-.016855059
2020,1,12,16,-.024176097,.016738664,.0066061406,.016623942
2020,1,12,17,-.043772381,-.055418123,-.0099877911,-.015961079
2020,1,12,18,-.018590624,-.010740692,-.019058531,-.007434336
2020,1,12,19,-.072921932,.013240716,-.025138946,-.013078534
2020,1,12,20,-.062604845,-.0090804687,.000043384367,-.0023462898
2020,1,12,21,-.022452328,-.035991881,-.00072481984,.00043656604
2020,1,12,22,-.031989183,.016152125,-.014872323,.0012228888
2020,1,12,23,-.10548497,-.0046552811,-.0089209406,.0033399151
2020,1,12,24,-.024478037,-.014551711,-.019267006,-.012016854
2020,1,12,25,-.010305787,-.037448552,.001635378,-.013681098
2020,1,12,26,-.056715455,-.022506669,-.007797671,-.020573149
2020,1,12,27,-.039159141,-.041087147,-.017809339,-.023618676
2020,1,12,28,-.045818623,-.088551141,-.0074727465,-.0036326
2020,1,12,29,.045283508,.066163249,.0095716603,.03236312
2020,1,12,30,-.084031507,.029877458,-.0016757138,-.01181886
2020,1,12,31,-.019580904,.047833331,-.0098177698,.0014680719
2020,1,12,32,-.11851332,.037002638,-.0087292474,.0039144796
2020,1,12,33,-.089642107,-.031922095,-.012849596,-.016381331
2020,1,12,34,-.011699829,-.029319152,-.0001561579,-.0028194403
2020,1,12,35,-.018240565,.013718345,-.0012570192,.012789793
2020,1,12,36,.022564653,.0047100531,-.0029212481,-.0050111576
2020,1,12,37,.011338809,-.024578089,.0054666563,-.00090651179
2020,1,12,38,-.017039865,-.1297783,-.00099425588,-.032756049
2020,1,12,39,-.017941019,-.038087178,-.0092981039,-.018308368
2020,1,12,40,-.04002231,-.0070605269,.0012576322,-.0083294176
2020,1,12,41,.058603857,.013639207,.0098972516,.0014840277
2020,1,12,42,-.03493144,-.034206346,-.0082909102,-.01279832
2020,1,12,44,-.015330808,.030771026,-.018712772,.012787623
2020,1,12,45,-.012934037,-.054578561,.004528041,-.0023525418
2020,1,12,46,-.013424254,-.086438105,-.012838621,.010842427
2020,1,12,47,-.031818926,.0085095139,-.0011716698,.0068532205
2020,1,12,48,-.024244312,-.010297825,-.0064648925,-.0046166866
2020,1,12,49,-.010146289,.011758442,.00089494622,.023104114
2020,1,12,50,-.090168655,-.11473659,-.015809445,-.033239864
2020,1,12,51,-.0024027126,-.040136907,-.0068221455,-.018736083
2020,1,12,53,-.022789696,.016309856,.010479941,.019983409
2020,1,12,54,.01416433,-.067256935,.0067251171,-.013371883
2020,1,12,55,-.082143612,-.05089004,-.020688966,-.035660472
2020,1,12,56,-.048087865,.039806511,-.016850464,.0065318393
2020,1,13,1,-.058678813,-.050494377,-.0076524974,-.011030596
2020,1,13,2,.022470329,.069458842,.013411789,.0092048533
2020,1,13,4,.0058740498,-.0030688972,-.0067906692,.0098188007
2020,1,13,5,-.085053787,-.0086123804,-.013420701,-.0077023432
2020,1,13,6,-.016115788,-.020622449,-.0036833666,-.0011879378
2020,1,13,8,.0048598568,-.027201829,-.0041770865,-.0030803459
2020,1,13,9,-.010871913,.05086562,-.0074843112,.0018263391
2020,1,13,10,.030267274,.015677482,.0074688881,.00089575897
2020,1,13,11,.014731631,-.13035551,-.024568839,-.012820559
2020,1,13,12,-.021179412,-.02848346,-.0017303859,.0012519491
2020,1,13,13,-.047732685,-.054011203,.00016419566,-.0077341786
